PreSens Measurement Studio 2,2.1.0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
08/23/2019,15:19:25,6,default,428659469,OXY6,46.169,min,169.743,μmol/L,Humid,22.638,deg,110136,µV,27.587,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370756.92,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:26,6,default,428659469,OXY6,46.188,min,169.728,μmol/L,Humid,22.639,deg,110106,µV,27.587,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370686.39,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:27,6,default,428659469,OXY6,46.205,min,169.686,μmol/L,Humid,22.644,deg,110095,µV,27.581,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370646.8,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:28,6,default,428659469,OXY6,46.222,min,169.776,μmol/L,Humid,22.64,deg,110082,µV,27.574,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370627.53,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:29,6,default,428659469,OXY6,46.238,min,169.715,μmol/L,Humid,22.642,deg,110072,µV,27.581,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370610.74,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:30,6,default,428659469,OXY6,46.255,min,169.818,μmol/L,Humid,22.635,deg,110061,µV,27.581,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370594.09,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:31,6,default,428659469,OXY6,46.272,min,169.67,μmol/L,Humid,22.643,deg,110064,µV,27.587,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370583.77,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:32,6,default,428659469,OXY6,46.288,min,169.715,μmol/L,Humid,22.642,deg,110047,µV,27.581,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370568.91,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:33,6,default,428659469,OXY6,46.305,min,169.703,μmol/L,Humid,22.645,deg,110050,µV,27.574,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370564.1,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
08/23/2019,15:19:34,6,default,428659469,OXY6,46.321,min,169.699,μmol/L,Humid,22.641,deg,110043,µV,27.587,°C,1022,hPa,36,pmil,0,55.66,deg,20,°C,100,%a.s.,22.21,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,28,0,24,370544.48,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-027,6/27/2018 9:56:38 AM,0000-00,0,no battery,V
