PreSens Measurement Studio 2,2.1.0.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
08/23/2019,15:19:32,9,default,126018029,OXY9,46.366,min,185.712,μmol/L,Humid,21.61,deg,112209,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244401.21,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:33,9,default,126018029,OXY9,46.386,min,185.777,μmol/L,Humid,21.606,deg,112187,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244352.69,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:34,9,default,126018029,OXY9,46.402,min,185.795,μmol/L,Humid,21.607,deg,112166,µV,27.532,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244334.38,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:35,9,default,126018029,OXY9,46.419,min,185.828,μmol/L,Humid,21.605,deg,112155,µV,27.532,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244314.42,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:36,9,default,126018029,OXY9,46.436,min,185.777,μmol/L,Humid,21.606,deg,112150,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244295.44,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:37,9,default,126018029,OXY9,46.452,min,185.761,μmol/L,Humid,21.607,deg,112138,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244291.38,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:38,9,default,126018029,OXY9,46.469,min,185.712,μmol/L,Humid,21.61,deg,112134,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244288.45,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:39,9,default,126018029,OXY9,46.486,min,185.712,μmol/L,Humid,21.61,deg,112140,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244274.86,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:40,9,default,126018029,OXY9,46.503,min,185.745,μmol/L,Humid,21.608,deg,112126,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244282.82,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:41,9,default,126018029,OXY9,46.519,min,185.678,μmol/L,Humid,21.61,deg,112129,µV,27.544,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244266,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:42,9,default,126018029,OXY9,46.536,min,185.728,μmol/L,Humid,21.609,deg,112123,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244263.35,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:43,9,default,126018029,OXY9,46.553,min,185.727,μmol/L,Humid,21.607,deg,112126,µV,27.544,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244265.29,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:44,9,default,126018029,OXY9,46.57,min,185.761,μmol/L,Humid,21.607,deg,112130,µV,27.538,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244262.46,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:45,9,default,126018029,OXY9,46.586,min,185.711,μmol/L,Humid,21.608,deg,112122,µV,27.544,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244262.92,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
08/23/2019,15:19:46,9,default,126018029,OXY9,46.603,min,185.678,μmol/L,Humid,21.61,deg,112121,µV,27.544,°C,1021,hPa,36,pmil,0,55.64,deg,20,°C,100,%a.s.,22.2,deg,20,°C,971,hPa,0.826,-0.01532,0.000401,-0.00012,0,11.08,Humid,23.1,0,41.6,244259.33,SABD0002000011,AAV2.0.0.13,2.1.0.383,PSt7-10,171027-010,6/22/2018 1:46:20 PM,0000-00,0,no battery,V
