Date,Sample.ID,Fragment.ID,Plug.Number,Chamber.Channel,Position,Bin.ID,Run,Species,Fragment.Number,Sample.Type,Temp.Cat,Water.Height.cm,Chamber.Vol.L,Surf.Area.cm2,Start.Tme.Light,Stop.Time.Light,Start.Tme.Dark,Stop.Time.Dark,Notes,QC
20190830,R19,R19,NA,1,1,NA,1,P.astreoides,NA,Sample,Hot,23.5,,,9:04,9:25,9:29,9:48,,
20190830,R28,R28,NA,2,2,NA,1,P.astreoides,NA,Sample,Hot,23.3,,,9:04,9:25,9:29,9:48,,
20190830,R27,R27,NA,3,3,NA,1,P.astreoides,NA,Sample,Hot,23,,,9:04,9:25,9:29,9:48,,
20190830,R38,R38,NA,4,4,NA,1,P.astreoides,NA,Sample,Hot,23.4,,,9:04,9:25,9:29,9:48,,
20190830,BLANK1-HOT,BLANK1-HOT,NA,5,5,NA,1,P.astreoides,NA,Blank,Hot,23.7,,,9:04,9:25,9:29,9:48,,
20190830,BLANK1-AMB,BLANK1-AMB,NA,6,6,NA,1,P.astreoides,NA,Blank,Ambient,23.7,,,9:04,9:25,9:29,9:48,,
20190830,R25,R25,NA,7,7,NA,1,P.astreoides,NA,Sample,Ambient,23,,,9:04,9:25,9:29,9:48,,
20190830,R6,R6,NA,8,8,NA,1,P.astreoides,NA,Sample,Ambient,23,,,9:04,9:25,9:29,9:48,,
20190830,R34,R34,NA,9,9,NA,1,P.astreoides,NA,Sample,Ambient,23.1,,,9:04,9:25,9:29,9:48,,
20190830,R5,R5,NA,10,10,NA,1,P.astreoides,NA,Sample,Ambient,23.4,,,9:04,9:25,9:29,9:48,,
20190830,R3,R3,NA,1,1,NA,2,P.astreoides,NA,Sample,Hot,23.2,,,10:03,12:24,10:27,10:47,,
20190830,R26,R26,NA,2,2,NA,2,P.astreoides,NA,Sample,Hot,22.9,,,10:03,12:24,10:27,10:47,,
20190830,R8,R8,NA,3,3,NA,2,P.astreoides,NA,Sample,Hot,22.7,,,10:03,12:24,10:27,10:47,,
20190830,R21,R21,NA,4,4,NA,2,P.astreoides,NA,Sample,Hot,23,,,10:03,12:24,10:27,10:47,,
20190830,BLANK2-HOT,BLANK2-HOT,NA,5,5,NA,2,P.astreoides,NA,Blank,Hot,23.7,,,10:03,12:24,10:27,10:47,,
20190830,BLANK2-AMB,BLANK2-AMB,NA,6,6,NA,2,P.astreoides,NA,Blank,Ambient,23.7,,,10:03,12:24,10:27,10:47,,
20190830,R7,R7,NA,7,7,NA,2,P.astreoides,NA,Sample,Ambient,22.9,,,10:03,12:24,10:27,10:47,,
20190830,R23,R23,NA,8,8,NA,2,P.astreoides,NA,Sample,Ambient,22.7,,,10:03,12:24,10:27,10:47,,
20190830,R2,R2,NA,9,9,NA,2,P.astreoides,NA,Sample,Ambient,23.1,,,10:03,12:24,10:27,10:47,,
20190830,R15,R15,NA,10,10,NA,2,P.astreoides,NA,Sample,Ambient,23.3,,,10:03,12:24,10:27,10:47,,
20190830,R35,R35,NA,1,1,NA,3,P.astreoides,NA,Sample,Hot,23.4,,,11:01,11:22,11:26,11:43,,
20190830,R37,R37,NA,2,2,NA,3,P.astreoides,NA,Sample,Hot,23.3,,,11:01,11:22,11:26,11:43,,
20190830,R24,R24,NA,3,3,NA,3,P.astreoides,NA,Sample,Hot,22.9,,,11:01,11:22,11:26,11:43,,
20190830,R31,R31,NA,4,4,NA,3,P.astreoides,NA,Sample,Hot,23,,,11:01,11:22,11:26,11:43,,
20190830,BLANK3-HOT,BLANK3-HOT,NA,5,5,NA,3,P.astreoides,NA,Blank,Hot,23.7,,,11:01,11:22,11:26,11:43,,
20190830,BLANK3-AMB,BLANK3-AMB,NA,6,6,NA,3,P.astreoides,NA,Blank,Ambient,23.7,,,11:01,11:22,11:26,11:43,,
20190830,R17,R17,NA,7,7,NA,3,P.astreoides,NA,Sample,Ambient,22.8,,,11:01,11:22,11:26,11:43,,
20190830,R18,R18,NA,8,8,NA,3,P.astreoides,NA,Sample,Ambient,23.1,,,11:01,11:22,11:26,11:43,,
20190830,R16,R16,NA,9,9,NA,3,P.astreoides,NA,Sample,Ambient,23.3,,,11:01,11:22,11:26,11:43,,
20190830,R32,R32,NA,10,10,NA,3,P.astreoides,NA,Sample,Ambient,23,,,11:01,11:22,11:26,11:43,,
20190830,R20,R20,NA,1,1,NA,4,P.astreoides,NA,Sample,Hot,22.7,,,11:58,12:20,12:23,12:42,,
20190830,R36,R36,NA,2,2,NA,4,P.astreoides,NA,Sample,Hot,23.1,,,11:58,12:20,12:23,12:42,,
20190830,R29,R29,NA,3,3,NA,4,P.astreoides,NA,Sample,Hot,23.1,,,11:58,12:20,12:23,12:42,,
