"","Fragment.ID","Intercept","umol.L.sec","V4","V5"
"1","BLANK1-AMB",170.131616876751,0.000133543417366972,NA,"Photo"
"2","BLANK1-AMB",170.383087653368,0.00028102960102968,NA,"Resp"
"3","BLANK1-HOT",150.119739029995,-0.00026007498790517,NA,"Photo"
"4","BLANK1-HOT",149.639972864372,-0.000334200404858257,NA,"Resp"
"5","BLANK2-AMB",170.601333596491,0.000206214574898796,NA,"Photo"
"6","BLANK2-AMB",170.857870352041,5.64846938775628e-05,NA,"Resp"
"7","BLANK2-HOT",148.748353865546,-0.000322391138273438,NA,"Photo"
"8","BLANK2-HOT",148.221014825784,-0.000323885017421666,NA,"Resp"
"9","BLANK3-AMB",170.42749782241,5.862579281184e-05,NA,"Photo"
"10","BLANK3-AMB",170.49827454955,-7.11356092934808e-05,NA,"Resp"
"11","BLANK3-HOT",147.641751942646,-0.000193200740055512,NA,"Photo"
"12","BLANK3-HOT",147.34592482017,-0.000219443826473747,NA,"Resp"
"13","BLANK4-AMB",170.331662495309,-0.000168968105065605,NA,"Photo"
"14","BLANK4-AMB",170.052203854724,-0.000156617647058837,NA,"Resp"
"15","BLANK4-HOT",146.88487590025,-0.000164035843289799,NA,"Photo"
"16","BLANK4-HOT",146.813749665158,-0.000213737556561065,NA,"Resp"
"17","BLANK5-AMB",169.651686602493,4.01541022794687e-05,NA,"Photo"
"18","BLANK5-AMB",169.956735001707,-3.18086741227393e-05,NA,"Resp"
"19","BLANK5-HOT",146.234179173469,-0.000127336734693857,NA,"Photo"
"20","BLANK5-HOT",146.165030955229,-0.000209697539302848,NA,"Resp"
"21","R1",155.858154770485,0.000490489060489074,NA,"Photo"
"22","R1",156.52828488529,-0.00105951417004047,NA,"Resp"
"23","R10",179.179617889359,4.29985905566939e-05,NA,"Photo"
"24","R10",178.995709085975,-0.00116099652627011,NA,"Resp"
"25","R11",161.927244825038,-0.00101091855203615,NA,"Photo"
"26","R11",160.366309306198,-0.0014075485661425,NA,"Resp"
"27","R12",164.764504644269,-0.000878820816864326,NA,"Photo"
"28","R12",163.333119888992,-0.00114949121184091,NA,"Resp"
"29","R13",157.678289832792,-0.000204541562791145,NA,"Photo"
"30","R13",157.303156078431,-0.00120425770308123,NA,"Resp"
"31","R14",184.121613959673,0.000360207481005291,NA,"Photo"
"32","R14",184.735430862069,-0.00046140394088682,NA,"Resp"
"33","R15",159.001413138025,0.000402023557837497,NA,"Photo"
"34","R15",159.527032361309,-0.000744073020388791,NA,"Resp"
"35","R16",179.957254251885,0.000454285067873319,NA,"Photo"
"36","R16",180.651102820678,-0.00110324967824965,NA,"Resp"
"37","R17",184.361001337977,0.00101259164222877,NA,"Photo"
"38","R17",185.668029693676,-0.00149708498023724,NA,"Resp"
"39","R18",177.664542469905,0.00115210023051314,NA,"Photo"
"40","R18",178.948380474177,-0.000904787073391713,NA,"Resp"
"41","R19",175.294462137097,-0.00110649193548376,NA,"Photo"
"42","R19",173.974945495495,-0.0012743243243243,NA,"Resp"
"43","R2",180.872576664522,0.000274214929214994,NA,"Photo"
"44","R2",180.955465217391,-0.00085652173913051,NA,"Resp"
"45","R20",166.87426487559,-0.00205916988416986,NA,"Photo"
"46","R20",164.119171256158,-0.0021062315270937,NA,"Resp"
