Coral.id,Tank.Name,Tank,Treatment,Date,Lunar Day,Larval.Release,Sampled
R1,,,,20190722,-11,No,No
R2,,,,20190722,-11,No,No
R3,,,,20190722,-11,No,No
R4,,,,20190722,-11,Yes,Yes
R5,,,,20190722,-11,Yes,Yes
R6,,,,20190722,-11,No,No
R7,,,,20190722,-11,No,No
R8,,,,20190722,-11,Yes,Yes
R9,,,,20190722,-11,Yes,Yes
R10,,,,20190722,-11,No,No
R11,,,,20190722,-11,Yes,Yes
R12,,,,20190722,-11,No,No
R13,,,,20190722,-11,Yes,Yes
R14,,,,20190722,-11,No,No
R15,,,,20190722,-11,Yes,Yes
R16,,,,20190722,-11,No,No
R17,,,,20190722,-11,No,No
R18,,,,20190722,-11,No,No
R19,,,,20190722,-11,No,No
R20,,,,20190722,-11,No,No
R21,,,,20190722,-11,Yes,Yes
R22,,,,20190722,-11,No,No
R23,,,,20190722,-11,Yes,Yes
R24,,,,20190722,-11,No,No
R25,,,,20190722,-11,Yes,No
R26,,,,20190722,-11,No,No
R27,,,,20190722,-11,No,No
R28,,,,20190722,-11,Yes,No
R29,,,,20190722,-11,No,No
R30,,,,20190722,-11,No,No
R31,,,,20190722,-11,No,No
R32,,,,20190722,-11,No,No
R33,,,,20190722,-11,No,No
R34,,,,20190722,-11,No,No
R35,,,,20190722,-11,No,No
R36,,,,20190722,-11,Yes,No
R37,,,,20190722,-11,Yes,No
R38,,,,20190722,-11,Yes,No
R39,,,,20190722,-11,No,No
R40,,,,20190722,-11,Yes,No
