label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,1,1,37,611.14502,12.303,0.852901,[M-H]-,,Glutathione disulfide,Glutathione disulfide,C20H32N6O12S2,0.407,0.499351,611.14502,0,0,0,31037.19,53814.59,73074.77,68408.84,40872.61,114309.4,0,77912.59,67928.41,13633.96,147733.39,74127.52,106113.21,132478.36,0,24959.76,0,63003.76,48566.97,4310.51,72108.86,0,10546.21,44701.04,52735.29,54357.71,17893.51,95414.31,12532.03,13576.06,23658.63,80887.79,12892.8,2292.28,0,93851.93,44648.23,36825.37,6559.78,96632.84,24940.99,98867.88,38717.86,212179.8,55518.11
,2,2,45,145.09816,12.296,0.857064,[M-H]-,,Lysine,Lysine,C6H14N2O2,0.374,0.630971,145.09816,0,0,0,323854.16,579584.19,913469.06,655651,1044720.81,3966296.25,1245039.62,3246278.75,3408385,3729960,6598723.5,2512506.25,5981751.5,2829722.75,1127657.38,2190812.5,783171.56,864066.75,4257282,832997.25,2729569,859261.5,430876.09,1862487.38,966042.81,1330935.12,435546.66,555451,2494331.75,635547.69,1176030.62,856909.94,902209.81,354456.5,377520.59,4648077.5,4204762.5,2908341.75,3344595.25,5595634.5,1952180.88,7934672.5,5103634,8050104.5,1707817.62
,3,3,34,191.019653,11.173,0.855735,[M-H]-,,Citrate,Citrate,C6H8O7,0.547,0.399403,191.019653,2907.78,2698.59,9158.37,208853.64,195378.89,546713.56,287971.28,303410.78,83234.18,121753.41,122937.25,902402.75,1211432,1505569.62,139318.98,58206.89,391069.41,54580.07,131916.33,106617.41,176168.64,283972.16,119094.09,233658.25,19321.7,155011.7,2299955.25,82899.98,279138.78,161242.67,215138.3,64450.92,92665.26,403133.91,692687.12,526751.56,106817.06,82309.72,366843.47,205646.95,140274.44,114752.98,450627.53,166327.92,522974.91,406457.38,306234.03,350384.91
,4,4,45,173.104401,11.285,0.85651,[M-H]-,,Arginine,Arginine,C6H14N4O2,0.325,0,173.104401,0,0,2583.22,369270.41,572531.25,820770.44,454281.34,845196.81,14575192,5947390,10075819,7670406.5,14672775,28070266,10484227,18489876,7861954,5332166,1913609,462214.16,1199803.12,5712748,1421016.38,4196551.5,788179.69,470784.59,2895851,908878.06,2045324.62,404821.34,816400.19,3569715,594312.5,899610.44,767748.94,855933.81,374113,605875.81,13959284,15955931,8080900,11570649,32414072,6639976.5,26552410,19544930,29730246,12632719
,5,5,45,131.082626,11.28,0.856666,[M-H]-,,Ornithine,Ornithine,C5H12N2O2,0.3,0.232812,131.082626,0,1806.41,2240.11,50902.88,75319.42,75694.8,51388.57,90461.48,920836.94,360153.53,713017.31,508783.75,950516.06,1794802.5,781858.25,1309779,591019.81,304258.88,190344.25,67644.54,115966.21,470371.03,121439,435597.28,67914.4,33642.47,209189.08,77681.41,127327.56,41377.14,66358.91,258154.92,49905.89,87166.62,85213.12,87145.93,43354.07,40459.35,943096.44,1071189.88,563801.69,775103.5,2190963.5,472926.53,1779459.88,1212719,1977367,809125.06
,6,6,36,187.120163,10.634,0.850913,[M-H]-,,Homoarginine,Homoarginine,C7H16N4O2,0.806,0.570818,187.120163,0,0,0,3219.18,3221.95,9266.42,9702.68,3868.03,23830.67,8498.9,54940.67,28152.61,26663.33,48493.96,22710.45,66911.64,34308.48,4193.31,12738.65,13617.14,8190.2,19209.29,5135.7,13831.78,16899.61,3722.48,10160.46,12373.54,9391.47,3124.46,8600.19,13722.52,9958.98,3692.95,15254,9415.28,2852.77,3173.97,29330.92,71587.77,34841.87,42126.37,83455.73,6946.63,111141.18,54669.83,103752.41,50903.1
,7,7,28,259.022125,10.979,0.849841,[M-H]-,,Glucose-6-phosphate,Glucose-6-phosphate,C6H13O9P,0.281,1.296001,259.022125,0,0,0,27961.12,80447.44,64895.55,70682.74,70848.51,81782.72,18083.28,112345.6,142450.11,51030.41,159908.86,39377.04,77469.41,150650.38,15442.96,29907.7,42350.36,46510.12,60541.39,18620.83,101642.35,3367.35,45545.48,49173.34,59052.48,106810.94,49037.51,57577.03,43339.94,18041.62,38323.19,49368.39,48564.95,11591.09,0,160926.62,34350.34,62537.68,31332.58,145897.27,24547.88,103879.62,57773.97,287786.56,146012.27
,8,8,45,242.07991,10.717,0.854835,[M-H]-,,Phosphocholine (+HAc),Phosphocholine (+HAc),C7H18NO6P,0.473,0.063032,242.07991,0,0,0,287769.66,991770,748693.81,689523.81,547936.69,1247226.38,1229698.38,1679505.62,1848457.12,1020507.81,1845670.12,1259548.38,2232071.5,2998368.75,678254.69,1071003,278047,1490468.12,989084.25,1035806.81,1494361.62,218457.86,1111430.12,459651.09,1605730,2174739.25,425289,1915072.5,607382.12,816463.31,654613.56,1039708.81,621096.69,518024.97,255742.05,2335751.5,2070257.12,1834808,1473984.88,2586106,1042887.06,2823513.75,2062605.38,4902761.5,1415971.62
,9,9,8,426.022278,10.796,0.846274,[M-H]-,,ADP,ADP,C10H15N5O10P2,0.324,0.286535,426.022278,0,0,0,2658.71,19558.33,2587.82,2259.22,7369.84,0,0,0,3474.92,0,5611.74,2893.36,0,13001.75,0,2898.26,0,0,0,0,4205.98,0,0,4180.83,2892.08,22841.66,5353.97,2182.14,0,0,3357.52,5879.62,3876.95,0,0,12000.6,2376.12,0,0,7619.29,0,4416.13,0,31935.44,3828.96
,10,10,3,191.019592,10.398,0.619324,[M-H]-,,Isocitrate,Isocitrate,C6H8O7,0.602,0.718926,191.019592,0,2297.63,2044.73,3231.33,0,34323.21,32791.43,10380.63,2999.94,2673.2,3328.15,11101.74,86684.16,16731.92,3368.73,8706.82,3098.83,1902.18,3538.27,3273.27,15564.09,3624.55,5578.54,5679.14,0,20502.87,126637.32,3928.19,15883.37,3281.12,10944.86,2636.14,0,8762.5,12122.01,21219.94,2823.62,2950.39,31607.47,2805.41,0,7795.87,19493.39,4756.98,27158.43,19062.49,17372.4,12386.99
,11,11,20,362.05072,10.221,0.848997,[M-H]-,,GMP,GMP,C10H14N5O8P,0.629,0,362.05072,0,0,0,0,18977.12,12313.96,6942.42,27823.23,21985.3,0,3082.49,5174.94,7359.1,12095.83,3555.16,5602.21,12656.82,2291.08,20330.76,3010.05,27969.39,26545.22,8301.75,34194.36,0,4051.59,5498.95,9932.5,25568.26,12446.8,19497.71,2372.13,3034.54,8272.22,19443.1,34559.01,3892.77,0,39477.83,10537.33,7451.4,9391.49,42231.53,0,27890.68,29652.38,72951.48,8454.42
,12,12,23,322.044891,10.05,0.84859,[M-H]-,,CMP,CMP,C9H14N3O8P,0.63,0.94762,322.044891,0,0,0,7703.3,30426.23,18874.84,18659.41,7871.02,5304.14,6977.14,48295.72,35262.89,0,21118.67,0,11875.31,23705.69,2820.16,18520.67,4724.45,39056.36,28667.85,3862.67,11453.67,0,9121.11,10549.7,5232.13,10525.61,3013.98,29423.7,4008.34,0,17771.74,9157.21,22914.41,0,0,17362.87,4292.58,3002.59,12422.76,39694.04,3464.38,4595.07,16011.25,52412.81,18070.09
,13,13,25,259.022156,10.02,0.819033,[M-H]-,,Fructose-6-phosphate,Fructose-6-phosphate,C6H13O9P,0.55,1.178183,259.022156,0,0,0,35657.8,67188.82,78014.73,99605.82,47566.54,37429.32,22956.73,63156.83,61934.02,27387.16,49180.56,10155.41,37378.71,61619.84,3725.95,37661.46,43654.73,74547.2,87859.41,43754.08,68883.22,7594.88,52981.64,44990.73,69377.84,54910.36,44635.14,38661.49,32425.64,17940.39,54624.47,87120.49,103078.25,12351.46,2896.95,75211.12,34440.93,38209.72,21092.94,88199.69,19122.03,42123.54,28106.95,93399.22,59024.15
,14,14,33,201.135559,9.985,0.8515,[M-H]-,,NG-dimethyl-L-arginine,NG-dimethyl-L-arginine,C8H18N4O2,0.435,0.682768,201.135559,4948.08,3257.89,4180.36,5402.73,8738.63,10179.29,16187.66,16802.04,47598.46,27832.28,63559.96,50932.68,17833.43,80806.05,14927.16,102563.09,50975.96,4458.43,13961.64,4648.56,27499.78,43743.91,14573.15,36322.45,4749.52,3884.01,28805.95,9749.42,13843.99,6509.66,10146.19,10739.17,6252.67,10857,11484.57,18525.58,9714.93,8685.96,47049.99,69623.68,26017.45,46976.86,81025.2,23269.51,129901.55,54550.15,108284.77,38212.68
,15,15,22,173.009033,9.733,0.842904,[M-H]-,,Aconitate,Aconitate,C6H6O6,0.617,0.793768,173.009033,4293.9,3049.04,9762.33,301430.72,1366429.62,2735573.75,601082.94,4311236.5,66691.22,20135.59,38774.25,437661.28,4256984,277395.19,45571.02,106034.24,39156.86,69466.34,85843.95,30022.92,144296.12,998734.31,42137.52,46499.39,17140.63,488022.91,2520123,59064.07,161456.64,370919.41,884720.94,35672.52,76843.26,100321.94,17240826,13558205,761898.19,560520.44,531457.5,5579569.5,795295.44,273927.16,159165,1249738.75,480474.25,2967744.25,208416.77,81925.55
,16,16,45,565.048401,9.666,0.850656,[M-H]-,,UDP-D-Glucose,UDP-D-Glucose,C15H24N2O17P2,0.674,1.188195,565.048401,0,0,0,40305.6,67216.76,60010.02,56603.88,69337.88,25449.14,12626.3,60836,62325.39,24537.27,69199.77,71872.11,68790.93,59284.33,53009.46,72021.52,40059.95,58086.16,49442.75,21848.41,92675.21,48009.59,51349.69,24996.55,59712.86,107403.46,34139.76,75283.88,67104.98,46957.98,30438.93,61402.25,29854.82,43581.49,25773.71,45464.98,50804.09,40811.31,38081.97,27032.04,40904.35,77020.37,55165.48,92997.09,33897.57
,17,17,1,221.060547,9.753,0.798588,[M-H]-,,Cystathionine,Cystathionine,C7H14N2O4S,0.557,1.794663,221.060547,0,0,0,0,2914.34,10714.67,5697.29,12300.22,0,0,0,0,0,0,0,0,0,0,6237.47,6380.85,2905.31,8277.27,0,0,0,0,5576.64,0,0,0,0,1980.09,0,3111.91,2500.75,9907.2,0,0,0,0,0,0,0,0,0,0,0,0
,18,18,0,547.12146,9.687,0.234615,[M-H]-,,CDP-Choline (+HAc),CDP-Choline (+HAc),C16H30N4O13P2,0.603,0.446228,547.12146,0,0,0,0,0,0,2009.88,0,0,0,0,4051.43,2658.01,3953.91,0,0,6642.61,0,0,0,0,3293.11,0,5008.51,0,0,0,0,8248.1,0,0,2279.13,0,0,0,0,0,0,6951.3,2972.52,2196.52,0,2948.18,6123.2,0,0,4309.6,0
,19,19,45,323.028717,9.522,0.854325,[M-H]-,,UMP,UMP,C9H13N2O9P,0.628,0.377893,323.028717,0,0,0,138837.56,257286.2,389520.75,276780.44,176245.31,482415.91,256816.67,385490.22,468852.72,224308.39,643348.88,176580.05,355010.59,502898.12,45794.29,220295.7,187374.55,446708.88,433658.47,305516.91,245718.95,58468.16,154038.3,251432.8,254597.08,207410.92,152213.56,228918.67,140984.41,121411.31,250786.69,326602.97,325426.47,110330.66,81880.41,648103.81,318570.12,308191.25,310963.28,877101,214117.75,392664.25,310040.66,923551.81,313319.62
,20,20,19,229.011398,9.544,0.846717,[M-H]-,,Ribose phosphate,Ribose phosphate,C5H11O8P,0.556,2.132122,229.011398,0,0,0,7381.29,31707.97,49631.49,36617.26,52092.94,3327.38,0,14627.5,3072.24,3667.47,9747.78,4659.58,12806.39,3505.35,2129.63,4282.97,31256.13,64633.42,16167.69,4154.75,54569.25,0,37275.33,3841.19,43594.73,47411.38,27962.64,36666.66,32282.13,7779.35,8673.2,39715.84,20379.86,5720.51,0,21312.31,7956.34,3912.11,7580.28,17454.59,2489.09,16499.53,3792.41,42084.32,11099.72
,21,21,5,662.102478,9.469,0.842228,[M-H]-,,NAD+,NAD+,C21H27N7O14P2,0.541,0.921839,662.102478,0,0,0,3171.12,0,4675.34,2679.15,3184.01,2367.24,0,3268.23,4588.49,4514.58,11685.42,9718.17,0,6219.2,0,4627.21,0,7456.1,0,0,4335.41,0,0,0,0,11341.48,2764.01,20327.49,0,3721.41,0,4884.93,0,2582,0,8497.68,5458.96,5661.18,2056.12,4924.48,0,16942.55,4751.92,21683.64,0
,22,22,3,588.075317,9.994,0.705901,[M-H]-,,ADP-D-Glucose,ADP-D-Glucose,C16H25N5O15P2,0.034,0.622728,588.075317,0,0,0,0,2851.23,3724.88,6190.17,0,8101.55,0,3588.03,8268.75,0,9527.55,2782.16,0,15186.43,2431.9,0,5596.83,4200.45,2950.08,2946.32,3227.74,0,3263.01,2641.98,11892.12,7479.37,3274.95,8127.93,2951.22,2688.93,2780.32,7046.02,3165.35,2297.72,0,3073.72,3264.19,4309.27,2694.63,4817.44,0,3648.86,4662.58,10634.59,3326.14
,23,23,1,168.990677,9.354,0.834161,[M-H]-,,Dihydroxyacetone phosphate,Dihydroxyacetone phosphate,C3H7O6P,0.566,0.451468,168.990677,0,0,0,3183.98,2522.02,0,2773.14,5026.64,0,0,7158.02,2741.27,2321.05,0,0,0,0,0,0,0,0,2535.89,2833.83,0,0,0,0,3737.33,2676.46,0,0,0,0,2494.02,0,0,0,0,14783.11,0,5835.22,0,4650.66,0,0,2410.46,0,0
,24,24,45,606.074463,9.374,0.854814,[M-H]-,,UDP-N-acetyl-glucosamine,UDP-N-acetyl-glucosamine,C17H27N3O17P2,0.546,0.302117,606.074463,0,0,0,156308.3,284311.5,256017.89,258495.52,273417.22,554544.31,214197.12,735533.25,807638.81,306323.41,862235.56,384756.84,601413.75,848451.19,297957.84,419159.16,185963.73,401216.28,225117.31,180316.11,511453.12,359996.09,427675.88,198750.12,492492.91,745502.56,247290,627651.44,312503.75,399984.5,134185.69,318410.06,168132.5,254419.98,100446.76,575520.44,711514.94,661205.06,451330.59,321315.53,516747.09,655032,620474,921804.69,271846.22
,25,25,33,171.006363,9.334,0.842139,[M-H]-,,Glycerol-3-phosphate,Glycerol-3-phosphate,C3H9O6P,0.516,0.267688,171.006363,0,0,0,30768.48,21047.89,28194.3,42224.05,31850.52,10792.84,9594.55,27645.26,18679.31,17011.2,12001.26,4600.8,59340.27,5785.18,0,21381.27,33657.53,44918.12,48082.91,11476.53,70983.52,4683.85,24708.71,37244.2,38594.27,49983.13,24691.15,40164.29,18806.65,13240.97,41293.19,55078.28,54558.89,13636.47,2535.04,24596.34,24173.09,11589.24,11967.57,27653.82,3789.51,25936.38,21172.21,25338.52,14213.96
,26,26,38,239.016769,9.318,0.853682,[M-H]-,,Cystine,Cystine,C6H12N2O4S2,0.452,0.829918,239.016769,0,0,0,28085.3,20648.12,86169.05,63899.14,64482.25,327909.34,3398.82,192820.31,237943.2,125563.27,106872.27,8888.03,186609.02,78390.24,0,33304.69,18175,54170.7,54517.29,58744.17,115869.88,5802.88,5862.15,147113.44,40830.73,54958.55,75419.4,22121.09,171595.8,21786.69,27691.5,57199.59,23749.9,0,0,92620.05,38379.96,32850.89,44000.02,124262.63,10989.6,61134.89,45911.94,43366.89,0
,27,27,45,346.055695,9.263,0.853904,[M-H]-,,AMP,AMP,C10H14N5O7P,0.467,0.352747,346.055695,0,0,0,83795.51,171059.75,201228.45,128492.66,165586.8,172721.83,55770.32,146479.53,147507.73,83053.37,241866.58,153602.17,165653.89,170014.77,44453.69,203484.12,79082.07,263114.41,203976.31,141221.95,204689.52,31753.95,141313.42,60923.17,198598.8,308796.47,132778.28,249079.17,103815.27,113797.94,158998.58,233263.17,154039.38,77381.22,25799.17,333239.59,197755.27,188710.58,113191.29,302198.22,93814.18,238465.12,214925.05,511487.59,172905.94
