label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Bleached_Hot_Day0_1,Bleached_Hot_Day0_2,Bleached_Hot_Day0_3,Bleached_Hot_Day0_4,Bleached_Hot_Day0_5,Bleached_Hot_Day37_1,Bleached_Hot_Day37_2,Bleached_Hot_Day37_3,Bleached_Hot_Day37_4,Bleached_Hot_Day37_5,Bleached_Hot_Day52_1,Bleached_Hot_Day52_2,Bleached_Hot_Day52_3,Bleached_Hot_Day52_4,Bleached_Hot_Day52_5,Control_Ambient_Day0_1,Control_Ambient_Day0_2,Control_Ambient_Day0_3,Control_Ambient_Day0_4,Control_Ambient_Day0_5,Control_Ambient_Day37_1,Control_Ambient_Day37_2,Control_Ambient_Day37_3,Control_Ambient_Day37_4,Control_Ambient_Day37_5,Control_Ambient_Day52_1,Control_Ambient_Day52_2,Control_Ambient_Day52_3,Control_Ambient_Day52_4,Control_Ambient_Day52_5,Mortality_Hot_Day0_1,Mortality_Hot_Day0_2,Mortality_Hot_Day0_3,Mortality_Hot_Day0_4,Mortality_Hot_Day0_5,Mortality_Hot_Day37_1,Mortality_Hot_Day37_2,Mortality_Hot_Day37_3,Mortality_Hot_Day37_4,Mortality_Hot_Day37_5,Mortality_Hot_Day52_1,Mortality_Hot_Day52_2,Mortality_Hot_Day52_3,Mortality_Hot_Day52_4,Mortality_Hot_Day52_5
,129,129,33,527.145508,6.49,0.854994,[M+H]+,,Feature 100,Feature 100,,0,1.620977,527.145508,0,0,0,347167.41,422171.16,394138.5,250016.2,340557.41,141236,12596.47,157054.59,150516.02,31210.52,66588.55,0,0,0,0,428161.47,935430.5,545923.5,730427,565408.56,324858.12,562803.81,415910.12,47416.97,852639.69,528384.69,240500.2,444399.22,553698.81,471494.66,250316.94,564091.06,180671.25,320352.28,438761.78,5842.09,18259.92,0,100978.12,33480.92,0,32079,17108.11,0,0
,130,130,28,528.315552,1.929,0.8507,[M+H]+,,Feature 101,Feature 101,,0.025,1.848442,528.315552,0,0,0,617978.75,707855.94,578347.25,887218,709332.31,0,0,119238.26,11465.55,0,0,0,0,0,0,883737.06,3533189.25,1262175.5,2633828.25,930146.94,304850.91,764662.69,532506.31,215537.05,939814,287824.28,348389.47,233282.98,240969.2,308412.84,1780446.38,1078733.88,1581378.12,806898.81,599684.5,0,2856.02,0,15512.07,0,0,0,0,0,0
,7,7,28,528.315735,1.51,0.853038,[M+H]+,,Feature 102,Feature 102,,0.192,1.501859,528.315735,0,0,0,611010.06,800105.44,578347.25,887218,709332.31,0,3146.56,119238.26,11465.55,0,0,0,0,0,0,1056764.5,3390696,1599932,3050019.75,972579.44,556461.19,849377.25,579516,215537.05,1099579.38,403631.09,519030.72,233282.98,265002.62,366996.78,2471214.75,1078733.88,1535485.12,841897.25,599684.5,0,2856.02,0,15512.07,0,0,0,0,0,1553.19
,8,8,31,530.331909,1.41,0.852659,[M+H]+,,Feature 103,Feature 103,,0.094,1.150885,530.331909,0,0,0,367780.59,409926.03,277044.31,318807.03,249755.56,0,0,47512.95,17485.28,21639.33,2778.2,1523.62,0,0,1959.86,472117,2108930.25,856820.69,2844448.75,732259.5,159862.2,329797.53,291560.97,123086.87,474780.12,143934.64,240839.12,117003.48,149422.7,181133.7,1546382.5,735414.44,703326.69,482714,366574.72,0,53949,0,10136.54,0,0,14200.66,13462.45,0,0
,131,131,30,530.331787,1.927,0.850957,[M+H]+,,Feature 104,Feature 104,,0.027,1.381062,530.331787,0,0,0,275494.97,318402.47,195262.89,318807.03,249755.56,0,0,47512.95,17485.28,21639.33,0,0,0,0,0,347617.72,2066168.12,565611.44,2053587.88,582332.5,75135.43,284066.41,215761.14,105988.9,320103.47,87725.26,148536.98,117003.48,104874.81,132973.94,993667.31,712522.19,665065.25,426609.25,366574.72,0,32245.3,0,6162.1,0,0,2907.53,13462.45,0,0
,132,132,27,532.347351,1.928,0.849917,[M+H]+,,Feature 105,Feature 105,,0.024,0.229306,532.347351,0,0,0,95657.6,196106.17,135318.77,197261.12,114518.62,0,0,7638.52,9526.16,37019.87,0,0,0,0,0,199673.33,715508.19,273697.69,788723.5,183552.83,64128.72,164836.12,102102.91,71858.63,204047.02,56171.25,67790.67,45998.67,82054.84,69002.66,407502.38,295281.72,445970.41,199727.38,106750.53,0,28944.14,0,0,0,0,0,0,0,0
,11,11,29,532.348145,1.311,0.85497,[M+H]+,,Feature 106,Feature 106,,0.002,0.229305,532.348145,0,0,0,173895.16,352301.5,236500.3,264315.09,187233.33,0,0,15067.73,9526.16,37019.87,0,0,2547.48,3896.92,8534.23,438417.75,1104739.12,698360.56,1578153,384947.84,169773.52,235509.73,176731.05,83090.83,402296.41,137459.67,152189.41,58628.75,136236.17,141504,984661.69,474401.28,819611.94,296436.91,125992.6,2767.57,66430.55,7222.7,18722.16,2272.03,2033.43,3279.71,4092.71,4162.22,5819.82
,34,34,26,533.27124,1.556,0.855168,[M+H]+,,Feature 107,Feature 107,,0.223,0.915633,533.27124,0,0,0,322033.53,410415.78,318389.28,470090.25,435330.88,2349.95,0,52484.98,4899.36,0,1757.68,0,0,0,0,495588.38,1757158.62,679335,1272193,423881.16,237863.75,360657.5,250068.12,109294.5,556197.31,238904.05,227195.88,102589.16,137737.59,173564.42,965150,608960.31,850335.5,446785.41,264683.59,0,3622.6,0,2772.06,0,0,3091.03,0,0,0
,133,133,26,533.271118,1.932,0.85273,[M+H]+,,Feature 108,Feature 108,,0.02,1.258995,533.271118,0,0,0,322033.53,378295.62,272421.5,470090.25,319447.16,2349.95,0,49091.48,4899.36,0,0,0,0,0,0,368630.34,1742634.12,584609.81,1125559.88,423881.16,110807.48,360657.5,228878.95,79769.66,393043.75,147285.06,160861.94,102589.16,116028.82,152100.23,923738.44,608960.31,850335.5,446785.41,264683.59,0,3622.6,0,0,0,0,3091.03,0,0,0
,134,134,26,535.286865,1.927,0.849173,[M+H]+,,Feature 109,Feature 109,,0.024,1.596323,535.286865,0,0,0,169736.7,174977.23,100857,174213.11,123218.65,0,0,9737.57,3913.56,3739.44,0,0,0,0,0,141664.36,1090743.12,272612.97,984915,282405.28,32960.2,135462.48,101532.34,39350.82,150399.58,41595.72,65382.56,39726.57,42682.29,70492.45,517634.12,360401.03,344707.78,221689.88,150903.42,0,21269.77,2865.03,3375.65,0,0,0,0,0,0
,77,77,44,129.113388,11.35,0.852201,[M+H]+,,Feature 11,Feature 11,,0.011,4.72723,129.113388,2085.16,1377.38,7331.66,219778.81,435547.16,580152.19,366235.97,583284.38,9260999,5539065.5,6570680,5026415.5,9118854,13226016,7485969.5,11946149,4745945.5,5194686.5,1155656.75,388963.59,825640.81,4243191,1062685.12,3190440.75,705833.25,440248.28,1907198.38,510608.25,877707.44,306768.34,492145.09,2937118.75,477418.88,507161.84,478911.25,676057.19,422650.41,625089.75,9504728,9324105,6416996,8400000,14890667,5020658,16511681,11156997,12055836,9020656
,44,44,28,535.28717,1.451,0.855455,[M+H]+,,Feature 110,Feature 110,,0.121,1.254254,535.28717,0,1896.99,0,171440.25,214895.02,123231.25,174213.11,123218.65,0,0,25283.95,7521.81,7730.81,0,0,0,0,2315.79,229922.92,1090743.12,384747.62,1089553.12,282405.28,76655.82,133298.89,112601.68,53054.51,232802.64,94243.01,93228.2,55265.98,70981.27,69793.41,588028.75,359172.97,344707.78,221689.88,150903.42,0,17901.33,2865.03,3375.65,0,0,7170.97,2459.74,0,3353.28
,45,45,34,553.330383,1.184,0.856042,[M+H]+,,Feature 112,Feature 112,,0.007,1.10305,553.330383,0,0,0,905158.81,1607086.62,1322228.75,588636,1159668.12,93201.07,54512.32,255915.31,104841.25,3004.63,0,0,0,3651.51,2234.21,1140981.62,3200132.75,1426457.62,3023210,3198921.75,531542.31,2328217.25,1204775.38,185605.19,1341888.62,739483.06,845926.25,428926.41,558426.31,626955.38,2761963,2629659,1868957.12,1239584.5,801613.06,21681.71,24464.09,3021.23,34760.31,17322.92,2549.98,5775.55,0,15061.23,3569.38
,135,135,31,562.372559,1.299,0.853267,[M+H]+,,Feature 113,Feature 113,,0.035,1.302377,562.372559,0,0,0,445347.16,846120.56,810921,770103.31,573076.38,0,0,160319.02,53648.56,3833.93,0,0,0,0,0,1112231,2723627.75,1969397.12,3684534,959153.25,611190.75,929125.44,581441.44,230327.42,1084509.5,429712.16,455758.28,178076.38,270397.78,331891.62,2490608.5,1149818.12,1395141.12,753129,403712.41,3942.79,20010.11,0,34916.81,2426.2,18278.78,8448.32,22562.53,7435.64,12097.04
,46,46,34,562.37262,1.9,0.855748,[M+H]+,,Feature 114,Feature 114,,0.056,1.193845,562.37262,0,0,0,1611758.38,2847963.25,2502876,2780125,1731099.5,2879.28,30641.02,458959.66,131546.81,37091.03,9414.19,2295.75,6820.7,3496.77,5029.38,3347187.25,9286840,6053874,12307169,4333755.5,2787988,3213940,2127723.75,733252,3286187.75,1000553.75,1412977.38,627350.62,863930.44,1176165.62,7932575.5,4522751.5,5881241.5,2601018,1391931.38,18747.71,56237.59,0,126920.69,11278.45,45410.2,24626.42,53132.86,7435.64,12097.04
,136,136,33,563.375549,1.287,0.853991,[M+H]+,,Feature 115,Feature 115,,0.044,2.058424,563.375549,0,0,0,169719.61,317301.69,288835.19,277930.91,231397.33,2502.99,2631.1,71556.41,13247.82,9018.49,4556.2,2930.21,11835.74,2701.66,7885.67,387920.16,1002106.31,712477.25,1244257,339634.53,199059.08,326772.03,206014.67,85299.6,382116.25,155143.33,179745.61,65363.48,114769.73,153529.12,828265.5,343205.09,475502.75,264565.09,164018.09,3015.71,13663.61,11878.5,17238.26,14657.84,3908.55,3809.2,4363.04,4463.52,445708.22
,54,54,45,583.412659,1.162,0.857484,[M+H]+,,Feature 116,Feature 116,,0.032,2.510813,583.412659,0,0,0,334913.09,909243.75,2043871.62,213850.89,325059.72,79777.93,106808.21,106747.22,85281.98,126760.65,136362.45,37397.88,110379.25,79771.09,35830.94,411745.78,707215.19,877036.94,1512932.38,1103387.5,295467.44,910873.5,495771.25,455744.41,536710.5,301610.62,552126.5,378226.53,242298.45,325004.28,1703389.12,1285884.38,1356230.12,625290.5,253573.94,339920.09,651944.94,96573.4,111368.94,100504.93,181884.05,154377.83,190687,400536.09,86577.49
,137,137,26,584.354797,1.305,0.848952,[M+H]+,,Feature 117,Feature 117,,0.042,0.731141,584.354797,2966.29,0,1269.8,99328.57,219593.7,171466.83,167909.61,136801.78,0,0,40053.72,8327.86,0,0,0,3225.96,0,0,221819.38,554839.94,333967.41,550670.69,162506.81,157329.98,128969.47,93328.75,35634.91,281049.62,110255.97,119348.25,39247.96,75311.98,82428.85,322488.56,193715.2,229460.86,125124.79,122807.05,2858.37,3193.97,0,3141.76,0,0,1906.87,0,0,4587.2
