Fragment.ID,Sample.ID,Time,Day,Weight.mg,Species,Group
R8,Bleached_Hot_Day0_1,Day0,0,17.82,Porites,Bleached
R19,Bleached_Hot_Day0_2,Day0,0,20.58,Porites,Bleached
R20,Bleached_Hot_Day0_3,Day0,0,34.65,Porites,Bleached
R29,Bleached_Hot_Day0_4,Day0,0,36.79,Porites,Bleached
R37,Bleached_Hot_Day0_5,Day0,0,26.78,Porites,Bleached
R7,Control_Ambient_Day0_1,Day0,0,28.42,Porites,Control
R17,Control_Ambient_Day0_2,Day0,0,26.75,Porites,Control
R23,Control_Ambient_Day0_3,Day0,0,31,Porites,Control
R32,Control_Ambient_Day0_4,Day0,0,26.13,Porites,Control
R40,Control_Ambient_Day0_5,Day0,0,24.83,Porites,Control
R11,Mortality_Hot_Day0_1,Day0,0,23.07,Porites,Mortality
R26,Mortality_Hot_Day0_2,Day0,0,24.3,Porites,Mortality
R28,Mortality_Hot_Day0_3,Day0,0,25.09,Porites,Mortality
R35,Mortality_Hot_Day0_4,Day0,0,48.38,Porites,Mortality
R36,Mortality_Hot_Day0_5,Day0,0,25.87,Porites,Mortality
R8,Bleached_Hot_Day37_1,Day37,37,23.54,Porites,Bleached
R19,Bleached_Hot_Day37_2,Day37,37,25.77,Porites,Bleached
R20,Bleached_Hot_Day37_3,Day37,37,27.65,Porites,Bleached
R29,Bleached_Hot_Day37_4,Day37,37,45.3,Porites,Bleached
R37,Bleached_Hot_Day37_5,Day37,37,24.28,Porites,Bleached
R7,Control_Ambient_Day37_1,Day37,37,41.68,Porites,Control
R17,Control_Ambient_Day37_2,Day37,37,28.05,Porites,Control
R23,Control_Ambient_Day37_3,Day37,37,26.69,Porites,Control
R32,Control_Ambient_Day37_4,Day37,37,18.61,Porites,Control
R40,Control_Ambient_Day37_5,Day37,37,25.96,Porites,Control
R11,Mortality_Hot_Day37_1,Day37,37,32.92,Porites,Mortality
R26,Mortality_Hot_Day37_2,Day37,37,22.87,Porites,Mortality
R28,Mortality_Hot_Day37_3,Day37,37,25.64,Porites,Mortality
R35,Mortality_Hot_Day37_4,Day37,37,24.95,Porites,Mortality
R36,Mortality_Hot_Day37_5,Day37,37,44.18,Porites,Mortality
R8,Bleached_Hot_Day52_1,Day52,52,27.34,Porites,Bleached
R19,Bleached_Hot_Day52_2,Day52,52,20.86,Porites,Bleached
R20,Bleached_Hot_Day52_3,Day52,52,29.25,Porites,Bleached
R29,Bleached_Hot_Day52_4,Day52,52,18.06,Porites,Bleached
R37,Bleached_Hot_Day52_5,Day52,52,22.43,Porites,Bleached
R7,Control_Ambient_Day52_1,Day52,52,25.81,Porites,Control
R17,Control_Ambient_Day52_2,Day52,52,28.3,Porites,Control
R23,Control_Ambient_Day52_3,Day52,52,38.05,Porites,Control
R32,Control_Ambient_Day52_4,Day52,52,26.47,Porites,Control
R40,Control_Ambient_Day52_5,Day52,52,24.87,Porites,Control
R11,Mortality_Hot_Day52_1,Day52,52,24.73,Porites,Mortality
R26,Mortality_Hot_Day52_2,Day52,52,26.95,Porites,Mortality
R28,Mortality_Hot_Day52_3,Day52,52,25.56,Porites,Mortality
R35,Mortality_Hot_Day52_4,Day52,52,33.15,Porites,Mortality
R36,Mortality_Hot_Day52_5,Day52,52,22.74,Porites,Mortality
