Fragment.ID,Date.Collect,Day,Timepoint (Bag),Temp.Cat,Group,Vial.ID,Extraction.Order,Vial.Buff.g,Vial.Buff.coral.g,Coral.g,Exraction.Date
R8,20190709,0,A1 (SAM),Hot,Bleached,1,2,1.9745,2.1527,0.1782,20201006
R19,20190709,0,A1 (SAM),Hot,Bleached,2,19,1.953,2.1588,0.2058,20201009
R20,20190709,0,A1 (SAM),Hot,Bleached,3,24,1.9728,2.3193,0.3465,20201013
R29,20190709,0,A1 (SAM),Hot,Bleached,4,15,1.9574,2.3253,0.3679,20201009
R37,20190709,0,A1 (SAM),Hot,Bleached,5,3,1.9593,2.2271,0.2678,20201006
R7,20190709,0,A1 (SAM),Ambient,Control,6,12,1.957,2.2412,0.2842,20201008
R17,20190709,0,A1 (SAM),Ambient,Control,7,16,1.9583,2.2258,0.2675,20201009
R23,20190709,0,A1 (SAM),Ambient,Control,8,35,1.9775,2.2875,0.31,20201015
R32,20190709,0,A1 (SAM),Ambient,Control,9,42,1.9622,2.2235,0.2613,20201015
R40,20190709,0,A1 (SAM),Ambient,Control,10,4,1.978,2.2263,0.2483,20201008
R11,20190709,0,A1 (SAM),Hot,Mortality,11,34,1.962,2.1927,0.2307,20201015
R26,20190709,0,A1 (SAM),Hot,Mortality,12,27,1.9717,2.2147,0.243,20201013
R28,20190709,0,A1 (SAM),Hot,Mortality,13,37,1.9672,2.2181,0.2509,20201015
R35,20190709,0,A1 (SAM),Hot,Mortality,14,45,1.7491,2.2329,0.4838,20201020
R36,20190709,0,A1 (SAM),Hot,Mortality,15,1,1.9676,2.2263,0.2587,20201006
R8,20180813,37,A2 (SAM),Hot,Bleached,16,32,1.9685,2.2039,0.2354,20201013
R19,20180813,37,A2 (SAM),Hot,Bleached,17,14,2.0015,2.2592,0.2577,20201009
R20,20180813,37,A2 (SAM),Hot,Bleached,18,41,1.9772,2.2537,0.2765,20201015
R29,20180813,37,A2 (SAM),Hot,Bleached,19,40,1.9648,2.4178,0.453,20201015
R37,20180813,37,A2 (SAM),Hot,Bleached,20,7,1.9725,2.2153,0.2428,20201008
R7,20180813,37,A2 (SAM),Ambient,Control,21,18,1.9732,2.39,0.4168,20201009
R17,20180813,37,A2 (SAM),Ambient,Control,22,28,1.9649,2.2454,0.2805,20201013
R23,20180813,37,A2 (SAM),Ambient,Control,23,13,1.9616,2.2285,0.2669,20201009
R32,20180813,37,A2 (SAM),Ambient,Control,24,6,1.9673,2.1534,0.1861,20201008
R40,20180813,37,A2 (SAM),Ambient,Control,25,26,1.9708,2.2304,0.2596,20201013
R11,20180813,37,A2 (SAM),Hot,Mortality,26,33,1.9659,2.2951,0.3292,20201015
R26,20180813,37,A2 (SAM),Hot,Mortality,27,38,1.9673,2.196,0.2287,20201015
R28,20180813,37,A2 (SAM),Hot,Mortality,28,5,1.9604,2.2168,0.2564,20201008
R35,20180813,37,A2 (SAM),Hot,Mortality,29,11,1.9757,2.2252,0.2495,20201008
R36,20180813,37,A2 (SAM),Hot,Mortality,30,21,1.9872,2.429,0.4418,20201009
R8,20190828,52,A4 (Whole frag),Hot,Bleached,31,20,1.9634,2.2368,0.2734,20201009
R19,20190828,52,A4 (Whole frag),Hot,Bleached,32,10,1.9672,2.1758,0.2086,20201008
R20,20190828,52,A4 (Whole frag),Hot,Bleached,33,36,1.9717,2.2642,0.2925,20201015
R29,20190828,52,A4 (Whole frag),Hot,Bleached,34,25,1.9747,2.1553,0.1806,20201013
R37,20190828,52,A4 (Whole frag),Hot,Bleached,35,8,1.9692,2.1935,0.2243,20201008
R7,20190828,52,A4 (Whole frag),Ambient,Control,36,29,1.9783,2.2364,0.2581,20201013
R17,20190828,52,A4 (Whole frag),Ambient,Control,37,17,1.9812,2.2642,0.283,20201009
R23,20190828,52,A4 (Whole frag),Ambient,Control,38,31,1.9579,2.3384,0.3805,20201013
R32,20190828,52,A4 (Whole frag),Ambient,Control,39,30,1.9839,2.2486,0.2647,20201013
R40,20190828,52,A4 (Whole frag),Ambient,Control,40,9,1.967,2.2157,0.2487,20201008
R11,20190828,52,A4 (Whole frag),Hot,Mortality,41,44,1.9704,2.2177,0.2473,20201020
R26,20190828,52,A4 (Whole frag),Hot,Mortality,42,43,1.976,2.2455,0.2695,20201020
R28,20190828,52,A4 (Whole frag),Hot,Mortality,43,39,1.9731,2.2287,0.2556,20201013
R35,20190828,52,A4 (Whole frag),Hot,Mortality,44,23,1.9598,2.2913,0.3315,20201013
R36,20190828,52,A4 (Whole frag),Hot,Mortality,45,22,1.9816,2.209,0.2274,20201009
