Fragment.ID,Temp.Cat,Group
R1,Ambient,NA
R2,Ambient,NA
R3,Hot,NA
R4,Hot,NA
R5,Ambient,NA
R6,Ambient,NA
R7,Ambient,Control
R8,Hot,Bleached
R9,Hot,NA
R10,Ambient,NA
R11,Hot,Mortality
R12,Hot,NA
R13,Ambient,NA
R14,Ambient,NA
R15,Ambient,NA
R16,Ambient,NA
R17,Ambient,Control
R18,Ambient,NA
R19,Hot,Bleached
R20,Hot,Bleached
R21,Hot,NA
R22,Ambient,NA
R23,Ambient,Control
R24,Hot,NA
R25,Ambient,NA
R26,Hot,Mortality
R27,Hot,NA
R28,Hot,Mortality
R29,Hot,Bleached
R30,Hot,NA
R31,Hot,NA
R32,Ambient,Control
R33,Ambient,NA
R34,Ambient,NA
R35,Hot,Mortality
R36,Hot,Mortality
R37,Hot,Bleached
R38,Hot,NA
R39,Ambient,NA
R40,Ambient,Control
