Fragment.ID,Day,Group,Well,sample_id,Extraction.Date,sample_id_full
R26,0,Partial-Mortality,A10,A10_KW10,20201117,clean.A10-KW10_S233_ALL.fastq.gz_quant
R40,37,Control,A11,A11_KW11,20201029,clean.A11-KW11_S236_ALL.fastq.gz_quant
R19,37,Bleached,A12,A12_KW12,20201117,clean.A12-KW12_S239_ALL.fastq.gz_quant
R29,0,Bleached,A1,A1_KW1,20201117,clean.A1-KW1_S197_ALL.fastq.gz_quant
R20,52,Bleached,A2,A2_KW2,20201106,clean.A2-KW2_S201_ALL.fastq.gz_quant
R19,52,Bleached,A3,A3_KW3,20201119,clean.A3-KW3_S205_ALL.fastq.gz_quant
R7,37,Control,A4,A4_KW4,20201117,clean.A4-KW4_S209_ALL.fastq.gz_quant
R7,52,Control,A5,A5_KW5,20201111,clean.A5-KW5_S213_ALL.fastq.gz_quant
R40,0,Control,A6,A6_KW6,20201202,clean.A6-KW6_S217_ALL.fastq.gz_quant
R37,52,Bleached,A7,A7_KW7,20201125,clean.A7-KW7_S221_ALL.fastq.gz_quant
R26,52,Partial-Mortality,A8,A8_KW8,20201202,clean.A8-KW8_S225_ALL.fastq.gz_quant
R29,52,Bleached,A9,A9_KW9,20201120,clean.A9-KW9_S229_ALL.fastq.gz_quant
R28,0,Partial-Mortality,B10,B10_KW22,20201125,clean.B10-KW22_S234_ALL.fastq.gz_quant
R11,37,Partial-Mortality,B11,B11_KW23,20201106,clean.B11-KW23_S237_ALL.fastq.gz_quant
R8,37,Bleached,B12,B12_KW24,20201120,clean.B12-KW24_S240_ALL.fastq.gz_quant
R28,52,Partial-Mortality,B1,B1_KW13,20201106,clean.B1-KW13_S198_ALL.fastq.gz_quant
R35,37,Partial-Mortality,B2,B2_KW14,20201029,clean.B2-KW14_S202_ALL.fastq.gz_quant
R28,37,Partial-Mortality,B3,B3_KW15,20201111,clean.B3-KW15_S206_ALL.fastq.gz_quant
R36,52,Partial-Mortality,B4,B4_KW16,20201117,clean.B4-KW16_S210_ALL.fastq.gz_quant
R20,0,Bleached,B5,B5_KW17,20201110,clean.B5-KW17_S214_ALL.fastq.gz_quant
R17,0,Control,B6,B6_KW18,20201029,clean.B6-KW18_S218_ALL.fastq.gz_quant
R32,52,Control,B8,B7_KW19,20201111,clean.B7-KW19_S222_ALL.fastq.gz_quant
R40,52,Control,B7,B8_KW20,20201126,clean.B8-KW20_S226_ALL.fastq.gz_quant
R37,37,Bleached,B9,B9_KW21,20201119,clean.B9-KW21_S230_ALL.fastq.gz_quant
R23,0,Control,C10,C10_KW34,20201125,clean.C10-KW34_S235_ALL.fastq.gz_quant
R32,0,Control,C11,C11_KW35,20201119,clean.C11-KW35_S238_ALL.fastq.gz_quant
R29,37,Bleached,C12,C12_KW36,20201106,clean.C12-KW36_S241_ALL.fastq.gz_quant
R17,37,Control,C1,C1_KW25,20201119,clean.C1-KW25_S199_ALL.fastq.gz_quant
R11,52,Partial-Mortality,C2,C2_KW26,20201120,clean.C2-KW26_S203_ALL.fastq.gz_quant
R11,0,Partial-Mortality,C3,C3_KW27,20201111,clean.C3-KW27_S207_ALL.fastq.gz_quant
R23,37,Control,C4,C4_KW28,20201027,clean.C4-KW28_S211_ALL.fastq.gz_quant
R7,0,Control,C5,C5_KW29,20201119,clean.C5-KW29_S215_ALL.fastq.gz_quant
R35,52,Partial-Mortality,C6,C6_KW30,20201117,clean.C6-KW30_S219_ALL.fastq.gz_quant
R32,37,Control,C8,C7_KW31,20201111,clean.C7-KW31_S223_ALL.fastq.gz_quant
R23,52,Control,C7,C8_KW32,20201125,clean.C8-KW32_S227_ALL.fastq.gz_quant
R8,52,Bleached,C9,C9_KW33,20201117,clean.C9-KW33_S231_ALL.fastq.gz_quant
R17,52,Control,D1,D1_KW37,20201202,clean.D1-KW37_S200_ALL.fastq.gz_quant
R37,0,Bleached,D2,D2_KW38,20201027,clean.D2-KW38_S204_ALL.fastq.gz_quant
R35,0,Partial-Mortality,D3,D3_KW39,20201125,clean.D3-KW39_S208_ALL.fastq.gz_quant
R8,0,Bleached,D4,D4_KW40,20201111,clean.D4-KW40_S212_ALL.fastq.gz_quant
R20,37,Bleached,D5,D5_KW41,20201027,clean.D5-KW41_S216_ALL.fastq.gz_quant
R26,37,Partial-Mortality,D6,D6_KW42,20201120,clean.D6-KW42_S220_ALL.fastq.gz_quant
R36,37,Partial-Mortality,D7,D7_KW43,20201120,clean.D7-KW43_S224_ALL.fastq.gz_quant
R36,0,Partial-Mortality,D8,D8_KW44,20201119,clean.D8-KW44_S228_ALL.fastq.gz_quant
R19,0,Bleached,D9,D9_KW45,20201110,clean.D9-KW45_S232_ALL.fastq.gz_quant
