Fragment.ID,Date.Collect,Day,Timepoint,Temp.Cat,Group,Date Airbrushed,Homogenate_Vol.mL,Surface_Area_cm2
R8,20190709,0,A1,Hot,Bleached,20210616,20,4.334
R19,20190709,0,A1,Hot,Bleached,20210611,15,8.134
R20,20190709,0,A1,Hot,Bleached,20210615,17.5,4.346
R29,20190709,0,A1,Hot,Bleached,20210614,15,3.518
R37,20190709,0,A1,Hot,Bleached,20210611,17.5,3.67
R7,20190709,0,A1,Ambient,Control,20210616,15,8.578
R17,20190709,0,A1,Ambient,Control,20210611,20,9.462
R23,20190709,0,A1,Ambient,Control,20210616,20,5.851
R32,20190709,0,A1,Ambient,Control,20210616,15,2.244
R40,20190709,0,A1,Ambient,Control,20210616,10,1.824
R11,20190709,0,A1,Hot,Mortality,20210615,12.5,4.358
R26,20190709,0,A1,Hot,Mortality,20210614,15,5.57
R28,20190709,0,A1,Hot,Mortality,20210611,25,8.374
R35,20190709,0,A1,Hot,Mortality,20210611,15,2.11
R36,20190709,0,A1,Hot,Mortality,20210611,15,3.348
R8,20180813,37,A2,Hot,Bleached,20210615,15,6.429
R19,20180813,37,A2,Hot,Bleached,20210611,15,2.373
R20,20180813,37,A2,Hot,Bleached,20210615,15,3.355
R29,20180813,37,A2,Hot,Bleached,20210615,15,5.028
R37,20180813,37,A2,Hot,Bleached,20210614,10,2.144
R7,20180813,37,A2,Ambient,Control,20210615,12.5,4.434
R17,20180813,37,A2,Ambient,Control,20210616,15,8.869
R23,20180813,37,A2,Ambient,Control,20210616,15,4.329
R32,20180813,37,A2,Ambient,Control,20210614,12.5,2.779
R40,20180813,37,A2,Ambient,Control,20210611,20,8.196
R11,20180813,37,A2,Hot,Mortality,20210611,20,2.97
R26,20180813,37,A2,Hot,Mortality,20210615,22.5,4.438
R28,20180813,37,A2,Hot,Mortality,20210614,15,6.13
R35,20180813,37,A2,Hot,Mortality,20210614,12.5,3.87
R36,20180813,37,A2,Hot,Mortality,20210611,20,5.497
R8,20190828,52,A4,Hot,Bleached,20210616,15,5.532
R19,20190828,52,A4,Hot,Bleached,20210615,10,4.366
R20,20190828,52,A4,Hot,Bleached,20210616,17.5,7.457
R29,20190828,52,A4,Hot,Bleached,20210616,15,5.851
R37,20190828,52,A4,Hot,Bleached,20210615,15,7.49
R7,20190828,52,A4,Ambient,Control,20210614,15,10.809
R17,20190828,52,A4,Ambient,Control,20210616,15,5.478
R23,20190828,52,A4,Ambient,Control,20210616,15,5.053
R32,20190828,52,A4,Ambient,Control,20210614,20,9.448
R40,20190828,52,A4,Ambient,Control,20210616,15,5.037
R11,20190828,52,A4,Hot,Mortality,20210616,17.5,10.999
R26,20190828,52,A4,Hot,Mortality,20210616,15,10.416
R28,20190828,52,A4,Hot,Mortality,20210615,15,8.733
R35,20190828,52,A4,Hot,Mortality,20210614,15,4.846
R36,20190828,52,A4,Hot,Mortality,20210614,15,5.266
