Well,Chl:630,Chl:663,Chl:750
A1,0.027,0.027,0.027
B1,0.044,0.092,0.029
C1,0.03,0.036,0.028
D1,0.03,0.036,0.028
E1,0.03,0.034,0.028
F1,0.041,0.077,0.029
G1,0.109,0.195,0.071
H1,0.037,0.066,0.028
A2,0.027,0.027,0.028
B2,0.049,0.108,0.029
C2,0.031,0.039,0.029
D2,0.03,0.039,0.028
E2,0.03,0.036,0.029
F2,0.043,0.088,0.029
G2,0.102,0.191,0.065
H2,0.039,0.075,0.028
A3,0.027,0.027,0.027
B3,0.05,0.109,0.03
C3,0.03,0.038,0.028
D3,0.031,0.039,0.028
E3,0.036,0.039,0.028
F3,0.044,0.089,0.029
G3,0.094,0.184,0.059
H3,0.041,0.076,0.029
A4,0.088,0.25,0.031
B4,0.054,0.132,0.029
C4,0.042,0.079,0.032
D4,0.044,0.086,0.03
E4,0.031,0.037,0.029
F4,0.047,0.096,0.031
G4,0.033,0.045,0.029
H4,0.029,0.029,0.029
A5,0.099,0.294,0.029
B5,0.061,0.153,0.031
C5,0.042,0.086,0.029
D5,0.049,0.098,0.031
E5,0.03,0.037,0.028
F5,0.049,0.107,0.031
G5,0.036,0.051,0.031
H5,0.028,0.028,0.028
A6,0.099,0.299,0.029
B6,0.063,0.155,0.033
C6,0.043,0.087,0.029
D6,0.048,0.098,0.03
E6,0.031,0.04,0.031
F6,0.051,0.109,0.032
G6,0.034,0.049,0.03
H6,0.029,0.029,0.029
A7,0.029,0.029,0.029
B7,0.029,0.029,0.029
C7,0.029,0.029,0.028
D7,0.028,0.028,0.028
E7,0.028,0.028,0.028
F7,0.029,0.029,0.029
G7,0.028,0.028,0.028
H7,0.028,0.028,0.028
A8,0.028,0.028,0.028
B8,0.028,0.028,0.028
C8,0.03,0.03,0.03
D8,0.029,0.029,0.029
E8,0.028,0.028,0.028
F8,0.028,0.028,0.028
G8,0.028,0.028,0.028
H8,0.028,0.028,0.028
A9,0.028,0.028,0.028
B9,0.03,0.03,0.029
C9,0.029,0.029,0.029
D9,0.029,0.028,0.028
E9,0.03,0.03,0.03
F9,0.03,0.03,0.029
G9,0.028,0.028,0.028
H9,0.028,0.028,0.028
A10,0.028,0.028,0.028
B10,0.028,0.028,0.028
C10,0.028,0.028,0.028
D10,0.028,0.028,0.028
E10,0.028,0.028,0.028
F10,0.028,0.028,0.028
G10,0.028,0.028,0.028
H10,0.028,0.028,0.028
A11,0.029,0.029,0.029
B11,0.028,0.028,0.028
C11,0.029,0.029,0.029
D11,0.028,0.028,0.028
E11,0.029,0.029,0.028
F11,0.028,0.028,0.028
G11,0.028,0.028,0.028
H11,0.029,0.029,0.028
A12,0.029,0.029,0.029
B12,0.029,0.029,0.028
C12,0.029,0.029,0.029
D12,0.029,0.029,0.029
E12,0.028,0.028,0.028
F12,0.028,0.028,0.028
G12,0.029,0.029,0.029
H12,0.029,0.028,0.028
