Well,Vial.ID,Fragement.ID,Timepoint,Fraction,Surface.area.cm2,Homo.vol.mL,Replicate,Type,Concentration.mg.mL
A1,S1,NA,NA,NA,NA,NA,1,Standard,1.5
A2,S1,NA,NA,NA,NA,NA,2,Standard,1.5
A3,S1,NA,NA,NA,NA,NA,3,Standard,1.5
A4,S2,NA,NA,NA,NA,NA,1,Standard,0.75
A5,S2,NA,NA,NA,NA,NA,2,Standard,0.75
A6,S2,NA,NA,NA,NA,NA,3,Standard,0.75
A7,S3,NA,NA,NA,NA,NA,1,Standard,0.375
A8,S3,NA,NA,NA,NA,NA,2,Standard,0.375
A9,S3,NA,NA,NA,NA,NA,3,Standard,0.375
A10,S4,NA,NA,NA,NA,NA,1,Standard,0.188
A11,S4,NA,NA,NA,NA,NA,2,Standard,0.188
A12,S4,NA,NA,NA,NA,NA,3,Standard,0.188
B1,S5,NA,NA,NA,NA,NA,1,Standard,0.094
B2,S5,NA,NA,NA,NA,NA,2,Standard,0.094
B3,S5,NA,NA,NA,NA,NA,3,Standard,0.094
B4,S6,NA,NA,NA,NA,NA,1,Standard,0.047
B5,S6,NA,NA,NA,NA,NA,2,Standard,0.047
B6,S6,NA,NA,NA,NA,NA,3,Standard,0.047
B7,S7,NA,NA,NA,NA,NA,1,Blank,0
B8,S7,NA,NA,NA,NA,NA,2,Blank,0
B9,S7,NA,NA,NA,NA,NA,3,Blank,0
B10,1,R11,A4,Holobiont,10.999,17.5,1,Coral,
B11,1,R11,A4,Holobiont,10.999,17.5,2,Coral,
B12,1,R11,A4,Holobiont,10.999,17.5,3,Coral,
C1,2,R11,A4,Coral,10.999,17.5,1,Coral,
C2,2,R11,A4,Coral,10.999,17.5,2,Coral,
C3,2,R11,A4,Coral,10.999,17.5,3,Coral,
C4,3,R11,A4,Symbiont,10.999,17.5,1,Coral,
C5,3,R11,A4,Symbiont,10.999,17.5,2,Coral,
C6,3,R11,A4,Symbiont,10.999,17.5,3,Coral,
C7,4,R8,A4,Holobiont,5.532,15,1,Coral,
C8,4,R8,A4,Holobiont,5.532,15,2,Coral,
C9,4,R8,A4,Holobiont,5.532,15,3,Coral,
C10,5,R8,A4,Coral,5.532,15,1,Coral,
C11,5,R8,A4,Coral,5.532,15,2,Coral,
C12,5,R8,A4,Coral,5.532,15,3,Coral,
D1,6,R8,A4,Symbiont,5.532,15,1,Coral,
D2,6,R8,A4,Symbiont,5.532,15,2,Coral,
D3,6,R8,A4,Symbiont,5.532,15,3,Coral,
D4,7,R32,A4,Holobiont,9.448,20,1,Coral,
D5,7,R32,A4,Holobiont,9.448,20,2,Coral,
D6,7,R32,A4,Holobiont,9.448,20,3,Coral,
D7,8,R32,A4,Coral,9.448,20,1,Coral,
D8,8,R32,A4,Coral,9.448,20,2,Coral,
D9,8,R32,A4,Coral,9.448,20,3,Coral,
D10,9,R32,A4,Symbiont,9.448,20,1,Coral,
D11,9,R32,A4,Symbiont,9.448,20,2,Coral,
D12,9,R32,A4,Symbiont,9.448,20,3,Coral,
