Tin_ID,Coral_ID,Fragment_ID,Day,Fraction,Volume_mL,Tin_g,Tin_Dry_g,Tin_Burn_g
814,R7-A1,R7,0,Host,4,1.1323,1.1842,1.774
812,R7-A1,R7,0,Symbiont,1,1.1244,1.141,1.1376
865,R37-A4,R37,52,Host,4,1.1261,1.1859,1.1793
869,R37-A4,R37,52,Symbiont,1,1.117,1.1369,1.338
822,R8-A4,R8,52,Host,4,1.1428,1.1994,1.1888
854,R8-A4,R8,52,Symbiont,1,1.1418,1.1615,1.1586
842,R17-A2,R17,37,Host,4,1.1382,1.1905,1.1844
787,R17-A2,R17,37,Symbiont,1,1.1291,1.1497,1.1464
891,R23-A1,R23,0,Host,4,1.1324,1.1799,1.1746
860,R23-A1,R23,0,Symbiont,1,1.1342,1.1503,1.1481
866,R11-A4,R11,52,Host,4,1.1465,1.1987,1.1912
888,R11-A4,R11,52,Symbiont,1,1.1419,1.1578,1.1546
856,R40-A1,R40,0,Host,4,1.1335,1.1805,1.1744
792,R40-A1,R40,0,Symbiont,1,1.1388,1.1532,1.1521
554,R23-A2,R23,37,Host,4,1.1851,1.2325,1.2277
516,R23-A2,R23,37,Symbiont,1,1.1404,1.1569,1.1543
633,R23-A4,R23,52,Host,4,1.117,1.1646,1.1591
560,R23-A4,R23,52,Symbiont,1,1.1505,1.1671,1.1642
517,R20-A2,R20,37,Host,4,1.1109,1.1635,1.1573
605,R20-A2,R20,37,Symbiont,1,1.1486,1.1644,1.1619
868,R28-A4,R28,52,Host,4,1.1393,1.196,1.1892
894,R28-A4,R28,52,Symbiont,1,1.1422,1.159,1.1561
855,R29-A2,R29,37,Host,4,1.1498,1.2006,1.1953
809,R29-A2,R29,37,Symbiont,1,1.1496,1.1625,1.1605
859,R37-A1,R37,0,Host,4,1.1361,1.1828,1.1771
528,R37-A1,R37,0,Symbiont,1,1.1242,1.1389,1.1368
762,R19-A4,R19,52,Host,4,1.1378,1.2002,1.1899
625,R19-A4,R19,52,Symbiont,1,1.1411,1.1601,1.157
545,R36-A1,R36,0,Host,4,1.1305,1.1774,1.1722
794,R36-A1,R36,0,Symbiont,1,1.1392,1.1524,1.1509
696,R35-A1,R35,0,Host,4,1.1997,1.2464,1.2414
553,R35-A1,R35,0,Symbiont,1,1.1461,1.1595,1.158
858,R40-A2,R40,37,Host,4,1.1383,1.1869,1.1806
569,R40-A2,R40,37,Symbiont,1,1.1294,1.1454,1.1426
593,R11-A2,R11,37,Host,4,1.1888,1.2352,1.2287
807,R11-A2,R11,37,Symbiont,1,1.1398,1.1527,1.1508
709,R26-A1,R26,0,Host,4,1.1317,1.1815,1.175
504,R26-A1,R26,0,Symbiont,1,1.1282,1.1448,1.1419
782,R32-A2,R32,37,Host,4,1.1437,1.1931,1.1871
579,R32-A2,R32,37,Symbiont,1,1.198,1.2118,1.2102
531,R36-A4,R36,52,Host,4,1.1314,1.1907,1.1782
543,R36-A4,R36,52,Symbiont,1,1.1177,1.14,1.1368
501,R8-A2,R8,37,Host,4,1.1186,1.1686,1.1624
620,R8-A2,R8,37,Symbiont,1,1.1501,1.1657,1.1628
884,R37-A2,R37,37,Host,4,1.1169,1.172,1.1665
597,R37-A2,R37,37,Symbiont,1,1.1474,1.1651,1.1622
542,R8-A1,R8,0,Host,4,1.1268,1.1751,1.1699
870,R8-A1,R8,0,Symbiont,1,1.1487,1.163,1.1603
831,R40-A4,R40,52,Host,4,1.1549,1.2042,1.1961
846,R40-A4,R40,52,Symbiont,1,1.1225,1.1406,1.1384
623,R26-A2,R26,37,Host,4,1.1495,1.1979,1.1927
772,R26-A2,R26,37,Symbiont,1,1.1543,1.1694,1.168
622,R26-A4,R26,52,Host,4,1.1156,1.1709,1.1633
793,R26-A4,R26,52,Symbiont,1,1.1442,1.1667,1.1619
784,R20-A4,R20,52,Host,4,1.147,1.2007,1.1938
561,R20-A4,R20,52,Symbiont,1,1.1697,1.1904,1.1869
598,R19-A1,R19,0,Host,4,1.1848,1.2374,1.2295
534,R19-A1,R19,0,Symbiont,1,1.1268,1.1395,1.1386
621,R7-A4,R7,52,Host,4,1.1497,1.2075,1.1996
577,R7-A4,R7,52,Symbiont,1,1.148,1.1654,1.1622
879,R7-A2,R7,37,Host,4,1.1215,1.1729,1.1667
810,R7-A2,R7,37,Symbiont,1,1.1275,1.143,1.1403
549,R32-A4,R32,52,Host,4,1.1297,1.1802,1.1748
584,R32-A4,R32,52,Symbiont,1,1.1997,1.2145,1.2119
551,R36-A2,R36,37,Host,4,1.1189,1.1656,1.1601
532,R36-A2,R36,37,Symbiont,1,1.1233,1.1388,1.1372
533,R35-A2,R35,37,Host,4,1.148,1.1969,1.1929
602,R35-A2,R35,37,Symbiont,1,1.1228,1.1391,1.1368
576,R17-A4,R17,52,Host,4,1.1542,1.2038,1.199
573,R17-A4,R17,52,Symbiont,1,1.1881,1.2037,1.2013
592,R29-A1,R29,0,Host,4,1.1934,1.2426,1.2376
836,R29-A1,R29,0,Symbiont,1,1.1609,1.1739,1.1723
847,R29-A4,R29,52,Host,4,1.1308,1.1873,1.1799
599,R29-A4,R29,52,Symbiont,1,1.1361,1.1558,1.1531
861,R32-A1,R32,0,Host,4,1.1542,1.1991,1.1949
851,R32-A1,R32,0,Symbiont,1,1.1311,1.1441,1.1421
548,R11-A1,R11,0,Host,4,1.1329,1.1832,1.1763
587,R11-A1,R11,0,Symbiont,1,1.1909,1.2052,1.2018
618,R35-A4,R35,52,Host,4,1.131,1.1824,1.1761
698,R35-A4,R35,52,Symbiont,1,1.1309,1.1496,1.1467
595,R17-A1,R17,0,Host,4,1.1331,1.1834,1.1761
776,R17-A1,R17,0,Symbiont,1,1.1466,1.1639,1.1604
749,R28-A2,R28,37,Host,4,1.1528,1.2016,1.1968
657,R28-A2,R28,37,Symbiont,1,1.1258,1.1413,1.1392
890,R28-A1,R28,0,Host,4,1.1294,1.1789,1.1729
555,R28-A1,R28,0,Symbiont,1,1.1431,1.1574,1.1552
518,R20-A1,R20,0,Host,4,1.1358,1.1886,1.1824
617,R20-A1,R20,0,Symbiont,1,1.1162,"11,299",1.1274
626,R19-A2,R19,37,Host,4,1.1344,1.181,1.1743
862,R19-A2,R19,37,Symbiont,1,1.1202,1.1322,1.131
