,Fragment.ID,weight.g,SA.cm2
1,R1,0.853,203.0792616
2,R10,0.829,197.3834098
3,R11,0.929,221.1161254
4,R12,0.776,184.8050706
5,R13,0.696,165.8188982
6,R14,0.613,146.1207443
7,R15,0.549,130.9318063
8,R16,0.453,108.1483994
9,R17,0.958,227.9986129
10,R18,0.913,217.3188909
11,R19,0.588,140.1875654
12,R2,0.86,204.7405516
13,R20,1.366,324.8280923
14,R21,0.551,131.4064606
15,R22,0.734,174.8373301
16,R23,1.12,266.445612
17,R24,0.933,222.065434
18,R25,0.595,141.8488555
19,R26,0.895,213.0470021
20,R27,0.967,230.1345573
21,R28,0.602,143.5101456
22,R29,0.692,164.8695895
23,R3,0.626,149.2059973
24,R30,0.865,205.9271874
25,R31,0.542,129.2705162
26,R32,0.712,169.6161327
27,R33,0.96,228.4732672
28,R34,0.57,135.9156766
29,R35,0.643,153.2405589
30,R36,0.885,210.6737305
31,R37,0.61,145.4087628
32,R38,0.666,158.6990835
33,R39,0.658,156.8004663
34,R4,0.922,219.4548353
35,R40,0.839,199.7566814
36,R5,0.496,118.3534671
37,R6,1.287,306.079247
38,R7,0.869,206.876496
39,R8,0.74,176.261293
40,R9,0.662,157.7497749
