sample.id,input,filtered,percentage.of.input.passed.filter,denoised,merged,percentage.of.input.merged,non.chimeric,percentage.of.input.non.chimeric,parameter
WSH129,111303,69798,62.71,68802,64725,58.15,62648,56.29,260forward_230reverse
WSH130,61961,38199,61.65,37659,35383,57.11,35041,56.55,260forward_230reverse
WSH131,17630,9122,51.74,8999,8134,46.14,8112,46.01,260forward_230reverse
WSH132,137964,94552,68.53,93383,88649,64.26,87671,63.55,260forward_230reverse
WSH133,34073,17395,51.05,17140,16230,47.63,16004,46.97,260forward_230reverse
WSH134,23942,13067,54.58,12978,12344,51.56,12235,51.1,260forward_230reverse
WSH135,42232,28824,68.25,27271,24170,57.23,24164,57.22,260forward_230reverse
WSH136,25023,14882,59.47,14397,13467,53.82,13371,53.43,260forward_230reverse
WSH137,24750,11572,46.76,11417,10309,41.65,10299,41.61,260forward_230reverse
WSH138,113482,79197,69.79,77294,71663,63.15,71355,62.88,260forward_230reverse
WSH139,41819,20047,47.94,19832,18646,44.59,18545,44.35,260forward_230reverse
WSH140,63295,33742,53.31,32906,30671,48.46,30152,47.64,260forward_230reverse
WSH141,34734,19525,56.21,18776,17351,49.95,17018,49,260forward_230reverse
WSH142,36100,21925,60.73,20779,18647,51.65,18296,50.68,260forward_230reverse
WSH143,44306,28504,64.33,27401,24709,55.77,24490,55.27,260forward_230reverse
WSH144,47359,24139,50.97,23866,22573,47.66,21520,45.44,260forward_230reverse
WSH145,44700,29043,64.97,28223,26677,59.68,25911,57.97,260forward_230reverse
WSH146,38551,22190,57.56,21541,20199,52.4,20055,52.02,260forward_230reverse
WSH147,39808,20567,51.67,20419,19475,48.92,18806,47.24,260forward_230reverse
WSH148,36767,19914,54.16,19478,18389,50.01,18372,49.97,260forward_230reverse
WSH149,39590,22502,56.84,21803,20282,51.23,20189,51,260forward_230reverse
WSH150,26557,15686,59.07,15334,14671,55.24,14491,54.57,260forward_230reverse
WSH151,39294,22458,57.15,21643,19622,49.94,19558,49.77,260forward_230reverse
WSH152,27175,15753,57.97,15140,13882,51.08,13827,50.88,260forward_230reverse
WSH153,28500,15196,53.32,14760,12797,44.9,12786,44.86,260forward_230reverse
WSH154,7548,2671,35.39,2594,2092,27.72,2092,27.72,260forward_230reverse
WSH155,23235,9727,41.86,9568,8227,35.41,8200,35.29,260forward_230reverse
WSH156,37502,17038,45.43,16667,15623,41.66,15617,41.64,260forward_230reverse
WSH157,45289,24953,55.1,24654,23357,51.57,22746,50.22,260forward_230reverse
WSH158,35248,19179,54.41,19074,18318,51.97,17706,50.23,260forward_230reverse
WSH159,28978,15875,54.78,15517,14563,50.26,14407,49.72,260forward_230reverse
WSH160,59845,36919,61.69,35205,31460,52.57,31381,52.44,260forward_230reverse
WSH161,59298,36358,61.31,35417,32859,55.41,32836,55.37,260forward_230reverse
WSH162,74910,42395,56.59,41662,38624,51.56,38205,51,260forward_230reverse
WSH163,38424,18809,48.95,18575,17813,46.36,17499,45.54,260forward_230reverse
WSH164,49744,24669,49.59,24175,23038,46.31,23030,46.3,260forward_230reverse
WSH165,32588,16851,51.71,16577,15358,47.13,15202,46.65,260forward_230reverse
WSH166,26796,14566,54.36,14436,13675,51.03,13633,50.88,260forward_230reverse
WSH167,21576,12967,60.1,12875,12120,56.17,12053,55.86,260forward_230reverse
WSH168,19598,9475,48.35,8770,7000,35.72,6951,35.47,260forward_230reverse
WSH169,42468,13499,31.79,13061,11361,26.75,11361,26.75,260forward_230reverse
WSH170,68249,38879,56.97,38191,35902,52.6,35558,52.1,260forward_230reverse
WSH171,70598,40999,58.07,40091,37279,52.8,37101,52.55,260forward_230reverse
WSH172,73095,39612,54.19,39254,37351,51.1,35691,48.83,260forward_230reverse
WSH173,25133,13574,54.01,13087,11857,47.18,11817,47.02,260forward_230reverse
WSH129,111303,67589,60.73,66541,62240,55.92,60341,54.21,270forward_240reverse
WSH130,61961,36798,59.39,36258,33972,54.83,33675,54.35,270forward_240reverse
WSH131,17630,8685,49.26,8558,7875,44.67,7863,44.6,270forward_240reverse
WSH132,137964,91304,66.18,90139,85393,61.9,84695,61.39,270forward_240reverse
WSH133,34073,16801,49.31,16580,15729,46.16,15571,45.7,270forward_240reverse
WSH134,23942,12591,52.59,12439,11978,50.03,11871,49.58,270forward_240reverse
WSH135,42232,27894,66.05,26310,23094,54.68,23090,54.67,270forward_240reverse
WSH136,25023,14179,56.66,13719,12783,51.09,12686,50.7,270forward_240reverse
WSH137,24750,11084,44.78,10967,10008,40.44,9998,40.4,270forward_240reverse
WSH138,113482,76588,67.49,74684,69134,60.92,68862,60.68,270forward_240reverse
WSH139,41819,19337,46.24,19124,18053,43.17,17953,42.93,270forward_240reverse
WSH140,63295,32551,51.43,31745,29462,46.55,28983,45.79,270forward_240reverse
WSH141,34734,18714,53.88,17872,16462,47.39,16185,46.6,270forward_240reverse
WSH142,36100,21061,58.34,19905,17681,48.98,17328,48,270forward_240reverse
WSH143,44306,27345,61.72,26250,23415,52.85,23213,52.39,270forward_240reverse
WSH144,47359,22840,48.23,22540,21187,44.74,20215,42.68,270forward_240reverse
WSH145,44700,28025,62.7,27198,25635,57.35,24932,55.78,270forward_240reverse
WSH146,38551,21278,55.19,20648,19319,50.11,19182,49.76,270forward_240reverse
WSH147,39808,19654,49.37,19499,18524,46.53,17894,44.95,270forward_240reverse
WSH148,36767,19134,52.04,18703,17600,47.87,17584,47.83,270forward_240reverse
WSH149,39590,21603,54.57,20883,19304,48.76,19226,48.56,270forward_240reverse
WSH150,26557,15177,57.15,14822,14146,53.27,14010,52.75,270forward_240reverse
WSH151,39294,21752,55.36,20963,18977,48.29,18914,48.13,270forward_240reverse
WSH152,27175,15047,55.37,14454,13155,48.41,13100,48.21,270forward_240reverse
WSH153,28500,14514,50.93,14108,12303,43.17,12303,43.17,270forward_240reverse
WSH154,7548,2484,32.91,2405,1997,26.46,1997,26.46,270forward_240reverse
WSH155,23235,9136,39.32,8998,7937,34.16,7911,34.05,270forward_240reverse
WSH156,37502,16463,43.9,16111,15098,40.26,15092,40.24,270forward_240reverse
WSH157,45289,23974,52.94,23586,22408,49.48,21810,48.16,270forward_240reverse
WSH158,35248,18445,52.33,18354,17630,50.02,17067,48.42,270forward_240reverse
WSH159,28978,15154,52.29,14784,13909,48,13779,47.55,270forward_240reverse
WSH160,59845,34860,58.25,33154,29413,49.15,29337,49.02,270forward_240reverse
WSH161,59298,35023,59.06,34032,31496,53.11,31483,53.09,270forward_240reverse
WSH162,74910,40937,54.65,40161,37020,49.42,36600,48.86,270forward_240reverse
WSH163,38424,18103,47.11,17829,17033,44.33,16727,43.53,270forward_240reverse
WSH164,49744,23804,47.85,23314,22224,44.68,22216,44.66,270forward_240reverse
WSH165,32588,16054,49.26,15800,14658,44.98,14522,44.56,270forward_240reverse
WSH166,26796,13946,52.05,13825,13198,49.25,13156,49.1,270forward_240reverse
WSH167,21576,12357,57.27,12263,11472,53.17,11406,52.86,270forward_240reverse
WSH168,19598,8907,45.45,8150,6434,32.83,6386,32.58,270forward_240reverse
WSH169,42468,12787,30.11,12351,10898,25.66,10898,25.66,270forward_240reverse
WSH170,68249,37564,55.04,36899,34502,50.55,34219,50.14,270forward_240reverse
WSH171,70598,39391,55.8,38405,35750,50.64,35591,50.41,270forward_240reverse
WSH172,73095,37858,51.79,37464,35664,48.79,34113,46.67,270forward_240reverse
WSH173,25133,13030,51.84,12543,11364,45.22,11326,45.06,270forward_240reverse
WSH129,111303,66748,59.97,65297,61660,55.4,49247,44.25,280forward_240reverse
WSH130,61961,36325,58.63,35689,33834,54.61,28903,46.65,280forward_240reverse
WSH131,17630,8564,48.58,8384,7745,43.93,6443,36.55,280forward_240reverse
WSH132,137964,90086,65.3,88474,84367,61.15,72847,52.8,280forward_240reverse
WSH133,34073,16512,48.46,16277,15579,45.72,13517,39.67,280forward_240reverse
WSH134,23942,12340,51.54,12257,11804,49.3,10498,43.85,280forward_240reverse
WSH135,42232,27502,65.12,25627,22790,53.96,21443,50.77,280forward_240reverse
WSH136,25023,13867,55.42,13345,12542,50.12,11134,44.5,280forward_240reverse
WSH137,24750,10933,44.17,10815,9895,39.98,8194,33.11,280forward_240reverse
