"","ASV_ID","ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1","000fabac8ac6d15ef70af5a482e8ebb3","ASV-1185","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","Unclassified  NS9_marine_group"
"2","0042ce54d123781571072c5202a202f1","ASV-819","Bacteria","Myxococcota","Myxococcia","Myxococcales","Myxococcaceae","P3OB-42","P3OB-42 uncultured_organism"
"3","00483014839770c83278a0faad3298fb","ASV-2191","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured","uncultured uncultured_bacterium"
"4","0060c611d488e9eeb081826e34be6b8d","ASV-3609","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified Rhodobacteraceae","Unclassified Rhodobacteraceae"
"5","00912bf7388bb14d7854d3375bd4470a","ASV-2540","Bacteria","Cyanobacteria","Cyanobacteriia","Thermosynechococcales","Unclassified Thermosynechococcales","Unclassified Thermosynechococcales","Unclassified Thermosynechococcales"
"6","00b700dadeabdddfe49e5db2f56f5389","ASV-769","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Unclassified Bacteriovoracaceae","Unclassified Bacteriovoracaceae"
"7","00c26ae57e0e1b2b1fe336d558bfe335","ASV-2844","Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae","Tistlia","Unclassified  Tistlia"
"8","00c857cc0ac98357823b687f3c17827e","ASV-2617","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","Halomicronema_TFEP1","Halomicronema_TFEP1 uncultured_cyanobacterium"
"9","00cf1f7cf2ef77dba53a6e6b9421a34c","ASV-592","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria"
"10","00e34bb94158eb7ac5e3e6beafa1a36e","ASV-1866","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","SM1A02 Planctomycetaceae_bacterium"
"11","00eb8ce56b54ae690a3c32f941911dc1","ASV-2453","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter","Unclassified  Luteolibacter"
"12","011e0be5962ee752bb56f4d4e2ad1df6","ASV-3495","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Unclassified Rhizobiaceae","Unclassified Rhizobiaceae"
"13","01250bed1445d409a1c48b6a4997a386","ASV-294","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"14","012da0c54e4c1d5b5856aaf11d644def","ASV-926","Bacteria","Bacteroidota","Rhodothermia","Balneolales","Balneolaceae","Balneola","Balneola uncultured_Chitinophagaceae"
"15","01614e13f923df263489b418b312824e","ASV-1897","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Urania-1B-19_marine_sediment_group","Urania-1B-19_marine_sediment_group uncultured_bacterium"
"16","016b2bb41d2912206c2625a3b4f02e8e","ASV-749","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter","Peredibacter uncultured_bacterium"
"17","01748bf2c32898773c15498903a3f7b8","ASV-1797","Bacteria","Planctomycetota","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage","Pla4_lineage uncultured_bacterium"
"18","0180e7fba9d2e4463061bb2fd12014d9","ASV-68","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","Mitochondria uncultured_bacterium"
"19","018e9dd90a00b860b732179463a94e01","ASV-3561","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified Rhodobacteraceae","Unclassified Rhodobacteraceae"
"20","01a1466ad844b0d1ceddcad63732afd5","ASV-3563","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Unclassified  Ruegeria"
"21","01c5a9a52c6a7e7cf51923219d89116c","ASV-1231","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gilvibacter","Gilvibacter Gilvibacter_sediminis"
"22","01c6d2a0fa2ae19be8fb3b2abd8b543f","ASV-3679","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","uncultured","Unclassified  uncultured"
"23","01c89960280c5c7cfe89830126cb9a7a","ASV-1490","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae"
"24","02084b933239d545f6a0e9a8343d15a4","ASV-1912","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula uncultured_bacterium"
"25","0223643a963a4c013b269817f51a04aa","ASV-230","Bacteria","Proteobacteria","Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria","Unclassified Gammaproteobacteria"
"26","0229ef747e04f57be4fc497b4c2f7f98","ASV-3491","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","uncultured","uncultured uncultured_bacterium"
"27","025d125142ea79c3762b2a961cc02d27","ASV-965","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured","uncultured uncultured_Flexibacteraceae"
"28","0264ef9d1c8054516451f015c43973bc","ASV-2397","Bacteria","Acidobacteriota","Blastocatellia","Blastocatellales","Blastocatellaceae","Blastocatella","Blastocatella uncultured_bacterium"
"29","026cb8a01c9d8288ac6aea29499cf746","ASV-1035","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"30","026eea573a49ac8f0ad8bdc220420916","ASV-3014","Bacteria","Unclassified Bacteria","Unclassified Bacteria","Unclassified Bacteria","Unclassified Bacteria","Unclassified Bacteria","Unclassified Bacteria"
"31","02e31f772016dbf5021811ccbb07542c","ASV-94","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","Unclassified  Mitochondria"
"32","02e3519085baf5bb61a6a7e0b68085b1","ASV-3693","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Limibaculum","Unclassified  Limibaculum"
"33","0300d5c7877683a381cb3526ec71ed77","ASV-3241","Bacteria","Proteobacteria","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria"
"34","034dd27875576ef4b7d4b95e0efb118d","ASV-2216","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b","Unclassified  A4b"
"35","036f0364628cbbf4232fb22027dce179","ASV-1687","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_bacterium"
"36","0370af8df93babfa82114e5434e9389c","ASV-174","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured uncultured_bacterium"
"37","037877ebfc5c45e4d37086b47125b33f","ASV-1722","Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae","uncultured","uncultured uncultured_bacterium"
"38","03858ab69f84da9d402f8017b1f531b4","ASV-44","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","Unclassified  Mitochondria"
"39","03894f873d1197236a6519a2c85cc390","ASV-128","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Mitochondria","Mitochondria Picochlorum_sp."
"40","038afb11bb95f0e9583f7978e0baf284","ASV-1859","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02","SM1A02 uncultured_organism"
"41","038b5969a79d5d52ec9b1b2522ff859c","ASV-2991","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Unclassified Geminicoccaceae","Unclassified Geminicoccaceae"
"42","03a909cbdec23dc38a3286a5c7515f5f","ASV-1057","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"43","03b27d7e1d2918f9a72c8b9718b6789c","ASV-1689","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Unclassified Cyclobacteriaceae","Unclassified Cyclobacteriaceae"
"44","03b9576b43c6b40f811627b00044f32b","ASV-2334","Bacteria","Sumerlaeota","Sumerlaeia","Sumerlaeales","Sumerlaeaceae","Sumerlaea","Sumerlaea uncultured_Flaviramulus"
"45","03bec2f64632ccff1b54e44aaa359a97","ASV-869","Bacteria","NB1-j","NB1-j","NB1-j","NB1-j","NB1-j","Unclassified  NB1-j"
"46","03e5d19c7ce46e44d81740a7d6de2354","ASV-2110","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","OM190 uncultured_bacterium"
