sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
WSH129	111303	69798	62.71	68802	64725	58.15	62648	56.29
WSH130	61961	38199	61.65	37659	35383	57.11	35041	56.55
WSH131	17630	9122	51.74	8999	8134	46.14	8112	46.01
WSH132	137964	94552	68.53	93383	88649	64.26	87671	63.55
WSH133	34073	17395	51.05	17140	16230	47.63	16004	46.97
WSH134	23942	13067	54.58	12978	12344	51.56	12235	51.1
WSH135	42232	28824	68.25	27271	24170	57.23	24164	57.22
WSH136	25023	14882	59.47	14397	13467	53.82	13371	53.43
WSH137	24750	11572	46.76	11417	10309	41.65	10299	41.61
WSH138	113482	79197	69.79	77294	71663	63.15	71355	62.88
WSH139	41819	20047	47.94	19832	18646	44.59	18545	44.35
WSH140	63295	33742	53.31	32906	30671	48.46	30152	47.64
WSH141	34734	19525	56.21	18776	17351	49.95	17018	49
WSH142	36100	21925	60.73	20779	18647	51.65	18296	50.68
WSH143	44306	28504	64.33	27401	24709	55.77	24490	55.27
WSH144	47359	24139	50.97	23866	22573	47.66	21520	45.44
WSH145	44700	29043	64.97	28223	26677	59.68	25911	57.97
WSH146	38551	22190	57.56	21541	20199	52.4	20055	52.02
WSH147	39808	20567	51.67	20419	19475	48.92	18806	47.24
WSH148	36767	19914	54.16	19478	18389	50.01	18372	49.97
WSH149	39590	22502	56.84	21803	20282	51.23	20189	51
WSH150	26557	15686	59.07	15334	14671	55.24	14491	54.57
WSH151	39294	22458	57.15	21643	19622	49.94	19558	49.77
WSH152	27175	15753	57.97	15140	13882	51.08	13827	50.88
WSH153	28500	15196	53.32	14760	12797	44.9	12786	44.86
WSH154	7548	2671	35.39	2594	2092	27.72	2092	27.72
WSH155	23235	9727	41.86	9568	8227	35.41	8200	35.29
WSH156	37502	17038	45.43	16667	15623	41.66	15617	41.64
WSH157	45289	24953	55.1	24654	23357	51.57	22746	50.22
WSH158	35248	19179	54.41	19074	18318	51.97	17706	50.23
WSH159	28978	15875	54.78	15517	14563	50.26	14407	49.72
WSH160	59845	36919	61.69	35205	31460	52.57	31381	52.44
WSH161	59298	36358	61.31	35417	32859	55.41	32836	55.37
WSH162	74910	42395	56.59	41662	38624	51.56	38205	51
WSH163	38424	18809	48.95	18575	17813	46.36	17499	45.54
WSH164	49744	24669	49.59	24175	23038	46.31	23030	46.3
WSH165	32588	16851	51.71	16577	15358	47.13	15202	46.65
WSH166	26796	14566	54.36	14436	13675	51.03	13633	50.88
WSH167	21576	12967	60.1	12875	12120	56.17	12053	55.86
WSH168	19598	9475	48.35	8770	7000	35.72	6951	35.47
WSH169	42468	13499	31.79	13061	11361	26.75	11361	26.75
WSH170	68249	38879	56.97	38191	35902	52.6	35558	52.1
WSH171	70598	40999	58.07	40091	37279	52.8	37101	52.55
WSH172	73095	39612	54.19	39254	37351	51.1	35691	48.83
WSH173	25133	13574	54.01	13087	11857	47.18	11817	47.02
