# Constructed from biom file
#OTU ID	WSH129	WSH130	WSH131	WSH132	WSH133	WSH134	WSH135	WSH136	WSH137	WSH138	WSH139	WSH140	WSH141	WSH142	WSH143	WSH144	WSH145	WSH146	WSH147	WSH148	WSH149	WSH150	WSH151	WSH152	WSH153	WSH154	WSH155	WSH156	WSH157	WSH158	WSH159	WSH160	WSH161	WSH162	WSH163	WSH164	WSH165	WSH166	WSH167	WSH168	WSH169	WSH170	WSH171	WSH172	WSH173
b65598390a16ce109ce4732249d5b59f	18454.0	7763.0	931.0	11769.0	6847.0	6377.0	1217.0	3351.0	938.0	41.0	5476.0	16050.0	6442.0	6547.0	6007.0	8774.0	7727.0	4406.0	8927.0	3722.0	2080.0	1902.0	1544.0	3924.0	6407.0	63.0	4760.0	1714.0	12206.0	10049.0	9216.0	1079.0	3633.0	9918.0	5969.0	951.0	8372.0	8848.0	7159.0	1566.0	2623.0	6432.0	2829.0	18052.0	3029.0
5a930a0946b799c0b162ab87bc2bb79a	4132.0	11170.0	2248.0	4264.0	4154.0	1172.0	544.0	4192.0	5886.0	4718.0	7882.0	2531.0	1988.0	1526.0	621.0	6843.0	1540.0	2353.0	5216.0	1584.0	3781.0	5428.0	1814.0	200.0	378.0	1562.0	652.0	3203.0	781.0	2423.0	521.0	413.0	933.0	6898.0	4674.0	3692.0	662.0	458.0	996.0	666.0	2264.0	11147.0	10327.0	4624.0	3010.0
0886831cfb3fd48845ba06ae7cabeb1a	8754.0	3455.0	550.0	5319.0	3163.0	2554.0	609.0	1593.0	439.0	0.0	2509.0	6421.0	2241.0	2791.0	2717.0	3946.0	3507.0	1498.0	3673.0	1610.0	1232.0	858.0	607.0	2165.0	2959.0	0.0	2364.0	575.0	5132.0	4560.0	3656.0	561.0	1647.0	3724.0	2511.0	373.0	3507.0	3538.0	3125.0	713.0	1492.0	3037.0	1131.0	7924.0	1555.0
01be52625aae2664d842dbfa1eb4eeb7	0.0	294.0	17.0	3806.0	19.0	0.0	1901.0	918.0	19.0	3586.0	118.0	35.0	82.0	0.0	14.0	66.0	1496.0	2747.0	13.0	1009.0	833.0	281.0	2173.0	16.0	0.0	0.0	0.0	272.0	0.0	0.0	15.0	385.0	652.0	788.0	311.0	1353.0	44.0	0.0	0.0	49.0	218.0	56.0	2089.0	42.0	22.0
2ffb48062a3d0e7bbdeaab39521f3297	4012.0	2972.0	1495.0	181.0	34.0	0.0	362.0	134.0	244.0	294.0	27.0	470.0	1084.0	1039.0	498.0	25.0	855.0	66.0	23.0	493.0	64.0	2709.0	55.0	211.0	114.0	21.0	0.0	249.0	80.0	0.0	10.0	276.0	615.0	12.0	218.0	2125.0	70.0	200.0	222.0	44.0	156.0	1968.0	1433.0	226.0	29.0
b4a45f4d13af93862e8a6343ea7ee6e1	673.0	628.0	173.0	405.0	628.0	889.0	25.0	144.0	678.0	293.0	237.0	138.0	250.0	40.0	51.0	738.0	285.0	330.0	567.0	484.0	356.0	1123.0	267.0	41.0	0.0	141.0	53.0	846.0	129.0	202.0	62.0	37.0	203.0	671.0	150.0	531.0	61.0	45.0	98.0	51.0	454.0	325.0	397.0	394.0	224.0
eb1516031724c4bc8a71287dfda3aa75	40.0	26.0	99.0	987.0	0.0	0.0	277.0	46.0	0.0	180.0	16.0	32.0	0.0	0.0	0.0	0.0	15.0	1827.0	0.0	347.0	62.0	0.0	184.0	52.0	191.0	0.0	0.0	1580.0	0.0	0.0	0.0	78.0	132.0	91.0	593.0	2082.0	928.0	0.0	0.0	0.0	0.0	0.0	253.0	1041.0	0.0
c799906639ef8afb687f3e6f6f5e3b7f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	10512.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
91df359b63e75c753531f66157d4a142	0.0	29.0	0.0	317.0	0.0	10.0	431.0	342.0	0.0	318.0	5.0	0.0	0.0	0.0	7.0	0.0	178.0	1049.0	0.0	589.0	144.0	12.0	584.0	0.0	0.0	0.0	0.0	1676.0	0.0	0.0	0.0	70.0	679.0	378.0	0.0	423.0	118.0	0.0	0.0	0.0	0.0	0.0	103.0	222.0	0.0
6fa3c702ab5ddb1d0345e28ca4e5dc8c	6669.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	917.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
162c3a5bf11fcac679c0ec98a62f1b1f	0.0	78.0	0.0	31.0	17.0	0.0	374.0	0.0	0.0	3121.0	0.0	0.0	0.0	0.0	13.0	5.0	319.0	153.0	0.0	219.0	273.0	47.0	385.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0	31.0	65.0	21.0	627.0	1423.0	0.0	0.0	0.0	23.0	11.0	40.0	95.0	0.0	0.0
8a4fa81cdfd2362f47c6cb67cfa6e7f5	0.0	65.0	0.0	1029.0	15.0	0.0	495.0	143.0	11.0	733.0	0.0	0.0	0.0	0.0	0.0	0.0	340.0	233.0	0.0	1033.0	167.0	62.0	1152.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	91.0	803.0	373.0	41.0	323.0	0.0	0.0	0.0	0.0	99.0	0.0	165.0	0.0	0.0
01a1466ad844b0d1ceddcad63732afd5	0.0	91.0	33.0	617.0	0.0	0.0	169.0	66.0	0.0	553.0	0.0	0.0	0.0	0.0	0.0	26.0	31.0	214.0	0.0	545.0	787.0	35.0	193.0	0.0	0.0	0.0	0.0	644.0	0.0	0.0	0.0	263.0	346.0	116.0	158.0	336.0	0.0	0.0	0.0	0.0	51.0	34.0	1205.0	0.0	0.0
8296d688e68a560f365a8fa6ecd13c6d	113.0	175.0	47.0	127.0	303.0	586.0	0.0	42.0	106.0	188.0	119.0	235.0	47.0	41.0	0.0	184.0	108.0	324.0	95.0	62.0	85.0	71.0	169.0	0.0	36.0	42.0	57.0	115.0	87.0	55.0	0.0	0.0	101.0	283.0	291.0	459.0	138.0	82.0	0.0	278.0	110.0	415.0	93.0	261.0	140.0
9f42ca609145e98b476e020a7f07501c	0.0	75.0	0.0	478.0	0.0	0.0	500.0	239.0	3.0	1031.0	0.0	0.0	0.0	0.0	0.0	9.0	306.0	576.0	0.0	274.0	242.0	65.0	687.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	53.0	252.0	195.0	74.0	339.0	0.0	0.0	0.0	0.0	43.0	0.0	508.0	8.0	0.0
b99fff06ef87b0bb2606cd8a0c8fbd71	4939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d3255c2187603ae0a039d0f6818f8a0b	0.0	10.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	59.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	2103.0	0.0	45.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	9.0	146.0	3015.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0
db0afda4ef3027dd6b6557a225e81010	0.0	0.0	0.0	3207.0	109.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	131.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	347.0	0.0	0.0	0.0	0.0	386.0	0.0	0.0	249.0	0.0	0.0	0.0	0.0	384.0	0.0	0.0	0.0	500.0
7bb8a203a45087f4c28ad5acbdb21ac9	0.0	123.0	194.0	690.0	0.0	0.0	44.0	81.0	0.0	247.0	0.0	0.0	0.0	0.0	210.0	17.0	118.0	68.0	0.0	315.0	712.0	122.0	119.0	56.0	0.0	0.0	0.0	373.0	0.0	0.0	0.0	306.0	66.0	269.0	128.0	454.0	0.0	0.0	0.0	35.0	12.0	0.0	162.0	51.0	0.0
1b8de0faefa8f6891626d91028667b2a	0.0	0.0	0.0	2064.0	10.0	0.0	178.0	65.0	0.0	611.0	0.0	0.0	0.0	0.0	65.0	0.0	321.0	29.0	0.0	116.0	164.0	8.0	172.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	86.0	186.0	255.0	36.0	295.0	0.0	0.0	0.0	21.0	0.0	0.0	106.0	0.0	0.0
48a6a0e363dfb3823afdb092a0bb834d	130.0	167.0	0.0	245.0	0.0	0.0	138.0	0.0	0.0	224.0	0.0	0.0	30.0	82.0	223.0	0.0	166.0	65.0	0.0	59.0	86.0	0.0	58.0	51.0	15.0	0.0	0.0	49.0	0.0	0.0	12.0	244.0	145.0	113.0	0.0	119.0	0.0	0.0	0.0	41.0	0.0	69.0	1950.0	22.0	69.0
197b8b467e68c99fbd817e6b19336520	0.0	0.0	0.0	48.0	0.0	0.0	207.0	0.0	5.0	1440.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	6.0	0.0	197.0	270.0	6.0	322.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	131.0	462.0	55.0	695.0	0.0	0.0	0.0	0.0	34.0	0.0	39.0	0.0	0.0
aa22f34ec278c299c6f3fe86c7927af8	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2338.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1065.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
62a42b9060da2e9b281a191e7db519a1	0.0	0.0	0.0	3182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
