sample-id	forward-absolute-filepath	reverse-absolute-filepath
WSH129	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH129_S148_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH129_S148_L001_R2_001.fastq.gz
WSH130	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH130_S160_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH130_S160_L001_R2_001.fastq.gz
WSH131	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH131_S172_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH131_S172_L001_R2_001.fastq.gz
WSH132	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH132_S184_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH132_S184_L001_R2_001.fastq.gz
WSH133	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH133_S101_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH133_S101_L001_R2_001.fastq.gz
WSH134	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH134_S113_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH134_S113_L001_R2_001.fastq.gz
WSH135	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH135_S125_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH135_S125_L001_R2_001.fastq.gz
WSH136	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH136_S137_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH136_S137_L001_R2_001.fastq.gz
WSH137	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH137_S149_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH137_S149_L001_R2_001.fastq.gz
WSH138	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH138_S161_L001_R1_001.fastq.gz	/data/putnamlab/kevin_wong1/PJB_16S/raw_data/WSH138_S161_L001_R2_001.fastq.gz
