"","Fragment.ID","X.x","Intercept","umol.L.sec","V4","V5","Date","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.Tme.Light","Stop.Time.Light","Start.Tme.Dark","Stop.Time.Dark","Notes","QC","Water.Height.in","umol.sec","Blank","umol.sec.corr","X.y","weight.g","SA.cm2","umol.cm2.hr"
"1","R1",11,190.00569960815,0.00111073667711598,NA,"Photo",20190708,"R1",NA,1,1,NA,1,"P.astreoides",NA,"Sample","Ambient",23,17.9082796704125,NA,"9:43","10:32","10:35","11:09","",NA,9.055123,0.020339261076382,-0.00398229400748,0.024321555083862,1,0.853,203.0792616,0.431149875236218
"2","R10",13,189.568587019436,0.000876957566172302,NA,"Photo",20190708,"R10",NA,1,1,NA,2,"P.astreoides",NA,"Sample","Ambient",23.1,17.9889248911263,NA,"11:30","12:15","12:21","12:51","",NA,9.0944931,0.0156340789176173,-0.00398229400748,0.0196163729250973,2,0.829,197.3834098,0.357775471615904
"3","R11",15,206.852091990977,0.00152624191351718,NA,"Photo",20190708,"R11",NA,2,2,NA,2,"P.astreoides",NA,"Sample","Hot",23.2,18.06957011184,NA,"11:30","12:15","12:21","12:51","",NA,9.1338632,0.0270861988000149,-0.00398229400748,0.0310684928074949,3,0.929,221.1161254,0.505827306374198
"4","R12",17,185.848094878833,0.000868933496547623,NA,"Photo",20190708,"R12",NA,3,3,NA,2,"P.astreoides",NA,"Sample","Hot",22.8,17.746989228985,NA,"11:30","12:15","12:21","12:51","",NA,8.9763828,0.0153508780703203,-0.00398229400748,0.0193331720778003,4,0.776,184.8050706,0.376609901741955
"5","R13",19,188.755769594428,0.000847530291961606,NA,"Photo",20190708,"R13",NA,4,4,NA,2,"P.astreoides",NA,"Sample","Ambient",23.2,18.06957011184,NA,"11:30","12:15","12:21","12:51","",NA,9.1338632,0.0152461587650516,-0.00398229400748,0.0192284527725316,5,0.696,165.8188982,0.417458026392277
"6","R14",21,174.594244046447,0.000263921306711644,NA,"Photo",20190708,"R14",NA,6,6,NA,2,"P.astreoides",NA,"Sample","Ambient",23.1,17.9889248911263,NA,"11:30","12:15","12:21","12:51","",NA,9.0944931,0.00474766056360366,-0.00398229400748,0.00872995457108366,6,0.613,146.1207443,0.215081278202202
"7","R15",23,194.778592036646,9.4362226920374e-05,NA,"Photo",20190708,"R15",NA,7,7,NA,2,"P.astreoides",NA,"Sample","Ambient",23.5,18.3115057739813,NA,"11:30","12:15","12:21","12:51","",NA,9.2519735,0.00170508487524705,-0.00398229400748,0.00568737888272705,7,0.549,130.9318063,0.156375784894502
"8","R16",25,190.373452939302,0.000549911133467484,NA,"Photo",20190708,"R16",NA,8,8,NA,2,"P.astreoides",NA,"Sample","Ambient",23.4,18.2308605532675,NA,"11:30","12:15","12:21","12:51","",NA,9.2126034,0.00975926696254637,-0.00398229400748,0.0137415609700264,8,0.453,108.1483994,0.457423501101718
"9","R17",27,190.04208515803,0.00124741115029842,NA,"Photo",20190708,"R17",NA,9,9,NA,2,"P.astreoides",NA,"Sample","Ambient",22.5,17.5050535668437,NA,"11:30","12:15","12:21","12:51","",NA,8.8582725,0.0225401832386083,-0.00398229400748,0.0265224772460883,9,0.958,227.9986129,0.418778504270092
"10","R18",29,153.39905566905,0.000947139938713022,NA,"Photo",20190708,"R18",NA,10,10,NA,2,"P.astreoides",NA,"Sample","Ambient",23,17.9082796704125,NA,"11:30","12:15","12:21","12:51","",NA,9.055123,0.0174963230753204,-0.00398229400748,0.0214786170828004,10,0.913,217.3188909,0.355804418004608
"11","R19",31,187.844105917972,0.000608902304147469,NA,"Photo",20190708,"R19",NA,1,1,NA,3,"P.astreoides",NA,"Sample","Hot",23.4,18.2308605532675,NA,"13:13","14:01","14:05","14:32","",NA,9.2126034,0.0109534978153425,-0.00398229400748,0.0149357918228225,11,0.588,140.1875654,0.383549356954316
"12","R2",33,208.555481735974,0.000713924090586283,NA,"Photo",20190708,"R2",NA,2,2,NA,1,"P.astreoides",NA,"Sample","Ambient",23.3,18.1502153325538,NA,"9:43","10:32","10:35","11:09","",NA,9.1732333,0.013073025106955,-0.00398229400748,0.017055319114435,12,0.86,204.7405516,0.299887581293232
