"","Fragment.ID","X.x","Intercept","umol.L.sec","V4","V5","Date","Sample.ID","Plug.Number","Chamber.Channel","Position","Bin.ID","Run","Species","Fragment.Number","Sample.Type","Temp.Cat","Water.Height.cm","Chamber.Vol.L","Surf.Area.cm2","Start.Tme.Light","Stop.Time.Light","Start.Tme.Dark","Stop.Time.Dark","Notes","QC","Water.Height.in","umol.sec","Blank","umol.sec.corr","X.y","weight.g","SA.cm2","umol.cm2.hr"
"1","R1",12,193.211208021625,-0.00165425189947405,NA,"Resp",20190708,"R1",NA,1,1,NA,1,"P.astreoides",NA,"Sample","Ambient",23,17.9082796704125,NA,"9:43","10:32","10:35","11:09","",NA,9.055123,-0.0302918432088385,-0.00217159433098015,-0.0281202488778584,1,0.853,203.0792616,-0.498489580682473
"2","R10",14,191.704650286931,-0.00191648463532027,NA,"Resp",20190708,"R10",NA,1,1,NA,2,"P.astreoides",NA,"Sample","Ambient",23.1,17.9889248911263,NA,"11:30","12:15","12:21","12:51","",NA,9.0944931,-0.034166387506954,-0.00217159433098015,-0.0319947931759738,2,0.829,197.3834098,-0.583540711705274
"3","R11",16,210.432794252518,-0.00247932577838826,NA,"Resp",20190708,"R11",NA,2,2,NA,2,"P.astreoides",NA,"Sample","Hot",23.2,18.06957011184,NA,"11:30","12:15","12:21","12:51","",NA,9.1338632,-0.0440005678842013,-0.00217159433098015,-0.0418289735532212,3,0.929,221.1161254,-0.68101910034462
"4","R12",18,187.502256398775,-0.00181766934557977,NA,"Resp",20190708,"R12",NA,3,3,NA,2,"P.astreoides",NA,"Sample","Hot",22.8,17.746989228985,NA,"11:30","12:15","12:21","12:51","",NA,8.9763828,-0.0321115719523015,-0.00217159433098015,-0.0299399776213214,4,0.776,184.8050706,-0.583230314443314
"5","R13",20,190.795766506969,-0.00146685540069685,NA,"Resp",20190708,"R13",NA,4,4,NA,2,"P.astreoides",NA,"Sample","Ambient",23.2,18.06957011184,NA,"11:30","12:15","12:21","12:51","",NA,9.1338632,-0.0263871516292785,-0.00217159433098015,-0.0242155572982984,5,0.696,165.8188982,-0.525730222671774
"6","R14",22,175.249826481578,-0.00129948022127126,NA,"Resp",20190708,"R14",NA,6,6,NA,2,"P.astreoides",NA,"Sample","Ambient",23.1,17.9889248911263,NA,"11:30","12:15","12:21","12:51","",NA,9.0944931,-0.0233762520979528,-0.00217159433098015,-0.0212046577669727,6,0.613,146.1207443,-0.522422523419227
"7","R15",24,194.109988705768,-0.00114412432721303,NA,"Resp",20190708,"R15",NA,7,7,NA,2,"P.astreoides",NA,"Sample","Ambient",23.5,18.3115057739813,NA,"11:30","12:15","12:21","12:51","",NA,9.2519735,-0.0206738347472376,-0.00217159433098015,-0.0185022404162575,7,0.549,130.9318063,-0.5087233375969
"8","R16",26,190.790840444405,-0.00154188784883208,NA,"Resp",20190708,"R16",NA,8,8,NA,2,"P.astreoides",NA,"Sample","Ambient",23.4,18.2308605532675,NA,"11:30","12:15","12:21","12:51","",NA,9.2126034,-0.0273638670455258,-0.00217159433098015,-0.0251922727145456,8,0.453,108.1483994,-0.838590143502062
"9","R17",28,193.09981385785,-0.00257313632372893,NA,"Resp",20190708,"R17",NA,9,9,NA,2,"P.astreoides",NA,"Sample","Ambient",22.5,17.5050535668437,NA,"11:30","12:15","12:21","12:51","",NA,8.8582725,-0.0464954672089421,-0.00217159433098015,-0.044323872877962,9,0.958,227.9986129,-0.69985488214636
"10","R18",30,155.468402985193,-0.00181557112638818,NA,"Resp",20190708,"R18",NA,10,10,NA,2,"P.astreoides",NA,"Sample","Ambient",23,17.9082796704125,NA,"11:30","12:15","12:21","12:51","",NA,9.055123,-0.033538675432349,-0.00217159433098015,-0.0313670811013688,10,0.913,217.3188909,-0.519611946744607
"11","R19",32,189.325608922145,-0.0016924067181396,NA,"Resp",20190708,"R19",NA,1,1,NA,3,"P.astreoides",NA,"Sample","Hot",23.4,18.2308605532675,NA,"13:13","14:01","14:05","14:32","",NA,9.2126034,-0.0304445773378507,-0.00217159433098015,-0.0282729830068706,11,0.588,140.1875654,-0.7260468397059
"12","R2",34,210.376722113266,-0.0018168992648306,NA,"Resp",20190708,"R2",NA,2,2,NA,1,"P.astreoides",NA,"Sample","Ambient",23.3,18.1502153325538,NA,"9:43","10:32","10:35","11:09","",NA,9.1732333,-0.0332701613786878,-0.00217159433098015,-0.0310985670477077,12,0.86,204.7405516,-0.546813225308062
"13","R20",36,208.27111535726,-0.00248651384177702,NA,"Resp",20190708,"R20",NA,2,2,NA,3,"P.astreoides",NA,"Sample","Hot",22.7,17.6663440082713,NA,"13:13","14:01","14:05","14:32","",NA,8.9370127,-0.0453312871132063,-0.00217159433098015,-0.0431596927822262,13,1.366,324.8280923,-0.478329607873063
"14","R21",38,186.047858063906,-0.00162626205331821,NA,"Resp",20190708,"R21",NA,3,3,NA,3,"P.astreoides",NA,"Sample","Hot",23.1,17.9889248911263,NA,"13:13","14:01","14:05","14:32","",NA,9.0944931,-0.0284678043570606,-0.00217159433098015,-0.0262962100260804,14,0.551,131.4064606,-0.720408689661409
"15","R22",40,188.625259887833,-0.00174518289170507,NA,"Resp",20190708,"R22",NA,4,4,NA,3,"P.astreoides",NA,"Sample","Ambient",23.2,18.06957011184,NA,"13:13","14:01","14:05","14:32","",NA,9.1338632,-0.0312532233006736,-0.00217159433098015,-0.0290816289696935,15,0.734,174.8373301,-0.59880726976908
"16","R23",42,175.309714377188,-0.00210163920430292,NA,"Resp",20190708,"R23",NA,6,6,NA,3,"P.astreoides",NA,"Sample","Ambient",22.8,17.746989228985,NA,"13:13","14:01","14:05","14:32","",NA,8.9763828,-0.0383146912669266,-0.00217159433098015,-0.0361430969359464,16,1.12,266.445612,-0.488336617716216
"17","R24",44,194.393236381229,-0.00189046927914851,NA,"Resp",20190708,"R24",NA,7,7,NA,3,"P.astreoides",NA,"Sample","Hot",22.1,17.1824726839888,NA,"13:13","14:01","14:05","14:32","Lost water from bubble. Resealed at 13:20 and at 13:24. Cannot fully seal 7.",NA,8.7007921,-0.0333976806225061,-0.00217159433098015,-0.031226086291526,17,0.933,222.065434,-0.506219759755557
"18","R25",46,188.907906922404,-0.00191017671244862,NA,"Resp",20190708,"R25",NA,8,8,NA,3,"P.astreoides",NA,"Sample","Ambient",23.1,17.9889248911263,NA,"13:13","14:01","14:05","14:32","",NA,9.0944931,-0.0343620254090167,-0.00217159433098015,-0.0321904310780365,18,0.595,141.8488555,-0.816965011613587
"19","R26",48,189.119392592979,-0.00213047698570086,NA,"Resp",20190708,"R26",NA,9,9,NA,3,"P.astreoides",NA,"Sample","Hot",22.8,17.746989228985,NA,"13:13","14:01","14:05","14:32","",NA,8.9763828,-0.0384968032647832,-0.00217159433098015,-0.0363252089338031,19,0.895,213.0470021,-0.613811745167435
"20","R27",50,150.579698610013,-0.00236171936758896,NA,"Resp",20190708,"R27",NA,10,10,NA,3,"P.astreoides",NA,"Sample","Hot",23.1,17.9889248911263,NA,"13:13","14:01","14:05","14:32","",NA,9.0944931,-0.0436275605954549,-0.00217159433098015,-0.0414559662644747,20,0.967,230.1345573,-0.648496602609577
"21","R28",52,186.901202226027,-0.00191797945205481,NA,"Resp",20190708,"R28",NA,1,1,NA,4,"P.astreoides",NA,"Sample","Hot",23.3,18.1502153325538,NA,"14:53","15:40","15:44","16:14","",NA,9.1732333,-0.0340383606770313,-0.00217159433098015,-0.0318667663460511,21,0.602,143.5101456,-0.79938849177632
"22","R29",54,205.222325615171,-0.00209878815911192,NA,"Resp",20190708,"R29",NA,2,2,NA,4,"P.astreoides",NA,"Sample","Hot",23.2,18.06957011184,NA,"14:53","15:40","15:44","16:14","",NA,9.1338632,-0.0360623702134196,-0.00217159433098015,-0.0338907758824395,22,0.692,164.8695895,-0.740019997300849
"23","R3",56,188.166003123755,-0.00135948221906111,NA,"Resp",20190708,"R3",NA,3,3,NA,1,"P.astreoides",NA,"Sample","Hot",22.9,17.8276344496988,NA,"9:43","10:32","10:35","11:09","",NA,9.0157529,-0.024455623529512,-0.00217159433098015,-0.0222840291985318,23,0.626,149.2059973,-0.537662738538691
"24","R30",58,188.646602777692,-0.00268487803377521,NA,"Resp",20190708,"R30",NA,3,3,NA,4,"P.astreoides",NA,"Sample","Hot",22.8,17.746989228985,NA,"14:53","15:40","15:44","16:14","",NA,8.9763828,-0.0476485015465471,-0.00217159433098015,-0.0454769072155669,24,0.865,205.9271874,-0.795023076083838
