"","ASV","Metabolite","Corr.r"
"1","ASV-61","4-Guanidinobutanoic acid",0.9482751971102
"2","ASV-1567","4-Guanidinobutanoic acid",0.935350698306545
"3","ASV-61","Arginine",0.949859818698223
"4","ASV-1567","Arginine",0.936308413218384
"5","ASV-61","Feature 10",0.935875813514483
"6","ASV-1567","Feature 10",0.918783359833687
"7","ASV-61","Feature 100",-0.897239626575741
"8","ASV-1567","Feature 100",-0.893293237393772
"9","ASV-1541","Feature 101",-0.851746654168931
"10","ASV-3113","Feature 101",-0.870632330013657
"11","ASV-290","Feature 101",-0.870895713261942
"12","ASV-61","Feature 101",-0.977525635252492
"13","ASV-1567","Feature 101",-0.975107103784453
"14","ASV-3337","Feature 101",-0.851126184392859
"15","ASV-3113","Feature 102",-0.867968531823999
"16","ASV-290","Feature 102",-0.868251175207659
"17","ASV-61","Feature 102",-0.974166491317267
"18","ASV-1567","Feature 102",-0.971860139361527
"19","ASV-61","Feature 103",-0.95518867344967
"20","ASV-1567","Feature 103",-0.946000591701998
"21","ASV-61","Feature 104",-0.967330293827384
"22","ASV-1567","Feature 104",-0.956938224808768
"23","ASV-3113","Feature 105",-0.854863284308879
"24","ASV-290","Feature 105",-0.855827935574621
"25","ASV-61","Feature 105",-0.946861802617771
"26","ASV-1567","Feature 105",-0.94817383860584
"27","ASV-3113","Feature 106",-0.853156673852746
"28","ASV-290","Feature 106",-0.854614957447969
"29","ASV-61","Feature 106",-0.935875995970581
"30","ASV-1567","Feature 106",-0.939773097650199
"31","ASV-3113","Feature 107",-0.860412998331879
"32","ASV-290","Feature 107",-0.861067737718893
"33","ASV-61","Feature 107",-0.958811867188002
"34","ASV-1567","Feature 107",-0.958481434721449
"35","ASV-3113","Feature 108",-0.86714823545213
"36","ASV-290","Feature 108",-0.867607167431178
"37","ASV-61","Feature 108",-0.970005304514816
"38","ASV-1567","Feature 108",-0.968623063605836
"39","ASV-3113","Feature 109",-0.86297054501893
"40","ASV-290","Feature 109",-0.863488210040068
"41","ASV-61","Feature 109",-0.964213501312307
"42","ASV-1567","Feature 109",-0.963156154831654
"43","ASV-61","Feature 11",0.954549452013908
"44","ASV-1567","Feature 11",0.944400517684683
"45","ASV-61","Feature 110",-0.951737748250002
"46","ASV-1567","Feature 110",-0.947660946671029
"47","ASV-1541","Feature 112",-0.853757717537775
"48","ASV-3113","Feature 112",-0.872491516309815
"49","ASV-290","Feature 112",-0.873211874971347
"50","ASV-61","Feature 112",-0.971236026429645
"51","ASV-1567","Feature 112",-0.971195608809945
"52","ASV-3337","Feature 112",-0.853091167877575
"53","ASV-61","Feature 113",-0.949998114702535
"54","ASV-1567","Feature 113",-0.937373677581202
"55","ASV-61","Feature 114",-0.961545585996124
"56","ASV-1567","Feature 114",-0.945968334055948
"57","ASV-61","Feature 117",-0.933398204169072
"58","ASV-1567","Feature 117",-0.934519161871766
"59","ASV-3113","Feature 118",-0.866061752165524
"60","ASV-290","Feature 118",-0.866529824746215
"61","ASV-61","Feature 118",-0.968611626068042
"62","ASV-1567","Feature 118",-0.967281849621057
"63","ASV-61","Feature 12",0.954590193969609
"64","ASV-1567","Feature 12",0.944469705305955
"65","ASV-61","Feature 125",-0.90070616026266
"66","ASV-1567","Feature 125",-0.905174894787788
"67","ASV-1541","Feature 126",-0.85113896010708
"68","ASV-3113","Feature 126",-0.870085039698313
"69","ASV-290","Feature 126",-0.870176632039472
"70","ASV-61","Feature 126",-0.980061183060062
"71","ASV-1567","Feature 126",-0.976747985765436
"72","ASV-3337","Feature 126",-0.850535709589649
"73","ASV-3113","Feature 127",-0.863253290024914
"74","ASV-290","Feature 127",-0.863401230189357
"75","ASV-61","Feature 127",-0.971318506150901
"76","ASV-1567","Feature 127",-0.968329313538643
"77","ASV-61","Feature 128",-0.90920642623488
"78","ASV-1567","Feature 128",-0.914317199120313
"79","ASV-61","Feature 13",0.899702681655938
"80","ASV-1567","Feature 13",0.877380765637574
"81","ASV-61","Feature 133",-0.952628894146726
"82","ASV-1567","Feature 133",-0.941140225376136
"83","ASV-3113","Feature 137",-0.864360862237644
"84","ASV-290","Feature 137",-0.864829730615883
"85","ASV-61","Feature 137",-0.966677856280333
"86","ASV-1567","Feature 137",-0.965359647070433
"87","ASV-3113","Feature 138",-0.861982379328912
"88","ASV-290","Feature 138",-0.861718188892672
"89","ASV-61","Feature 138",-0.977448796263098
"90","ASV-1567","Feature 138",-0.972313095138255
"91","ASV-3113","Feature 139",-0.863867977988538
"92","ASV-290","Feature 139",-0.863934621347545
"93","ASV-61","Feature 139",-0.973504208024161
"94","ASV-1567","Feature 139",-0.970087824542204
"95","ASV-61","Feature 14",0.956899610182514
"96","ASV-1567","Feature 14",0.943008584123149
"97","ASV-61","Feature 140",-0.906899542390043
"98","ASV-1567","Feature 140",-0.906539061466498
"99","ASV-61","Feature 141",-0.891434549823018
"100","ASV-1567","Feature 141",-0.897765879639991
"101","ASV-61","Feature 15",0.940551757200153
"102","ASV-1567","Feature 15",0.924772827454901
"103","ASV-61","Feature 16",0.922182242862727
"104","ASV-1567","Feature 16",0.906381207388828
"105","ASV-61","Feature 17",0.947468097080121
"106","ASV-1567","Feature 17",0.939580023491864
"107","ASV-61","Feature 18",-0.875495257092579
"108","ASV-1567","Feature 18",-0.870188093630625
"109","ASV-61","Feature 19",-0.875495257092579
"110","ASV-1567","Feature 19",-0.870188093630625
"111","ASV-61","Feature 25",0.877637767433163
"112","ASV-1567","Feature 25",0.863438364758639
"113","ASV-61","Feature 35",0.949655968445946
"114","ASV-1567","Feature 35",0.936108048330445
"115","ASV-61","Feature 36",0.900478127713927
"116","ASV-1567","Feature 36",0.868223193630909
"117","ASV-61","Feature 37",0.951834337014139
"118","ASV-1567","Feature 37",0.938964457153716
"119","ASV-61","Feature 40",0.900422756785088
"120","ASV-1567","Feature 40",0.885055953991989
"121","ASV-61","Feature 42",0.950142921294793
"122","ASV-1567","Feature 42",0.942372468027469
"123","ASV-61","Feature 43",0.891918120565587
"124","ASV-1567","Feature 43",0.863954861036205
"125","ASV-61","Feature 51",-0.894382062712052
"126","ASV-1567","Feature 51",-0.884769264438238
"127","ASV-3113","Feature 53",0.85246022656073
"128","ASV-290","Feature 53",0.856154946221516
"129","ASV-61","Feature 53",0.894042352063933
"130","ASV-1567","Feature 53",0.90962061841098
"131","ASV-3113","Feature 56",-0.857379250958684
"132","ASV-290","Feature 56",-0.856961687008407
"133","ASV-61","Feature 56",-0.975069988825939
"134","ASV-1567","Feature 56",-0.969153466723286
"135","ASV-61","Feature 57",0.939202974787264
"136","ASV-1567","Feature 57",0.932835740080059
"137","ASV-61","Feature 58",0.926170706873861
"138","ASV-1567","Feature 58",0.928568487039783
"139","ASV-61","Feature 60",-0.910508295955695
"140","ASV-1567","Feature 60",-0.905057329145893
"141","ASV-61","Feature 61",0.947031944812742
"142","ASV-1567","Feature 61",0.934386886647038
"143","ASV-61","Feature 62",0.941309006473155
"144","ASV-1567","Feature 62",0.941102577898725
"145","ASV-61","Feature 65",0.867847367995414
"146","ASV-1567","Feature 65",0.880303188141253
"147","ASV-61","Feature 66",0.868282996502401
"148","ASV-1567","Feature 66",0.88629635484333
"149","ASV-61","Feature 67",0.862955282289956
"150","ASV-61","Feature 8",0.939860940493126
"151","ASV-1567","Feature 8",0.923915137617942
"152","ASV-61","Feature 84",0.922327530638706
"153","ASV-1567","Feature 84",0.913577347327806
"154","ASV-61","Feature 89",0.942063162718136
"155","ASV-1567","Feature 89",0.927747878205616
"156","ASV-61","Feature 9",0.968370045413872
"157","ASV-1567","Feature 9",0.955700058701661
