"","ASV","Metabolite","Corr.r","Phylum","Class","Order","Family","Genus","Species"
"1","ASV-1473","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales"
"2","ASV-1525","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_Flammeovirgaceae"
"3","ASV-1541","Feature 126",-0.85113896010708,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"4","ASV-1541","Feature 112",-0.853757717537775,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"5","ASV-1541","Feature 101",-0.851746654168931,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"6","ASV-1546","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"7","ASV-1567","Feature 104",-0.956938224808768,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"8","ASV-1567","Feature 107",-0.958481434721449,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"9","ASV-1567","Feature 114",-0.945968334055948,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"10","ASV-1567","Feature 105",-0.94817383860584,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"11","ASV-1567","Feature 112",-0.971195608809945,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"12","ASV-1567","Feature 103",-0.946000591701998,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"13","ASV-1567","Feature 100",-0.893293237393772,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"14","ASV-1567","Feature 10",0.918783359833687,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"15","ASV-1567","Feature 117",-0.934519161871766,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"16","ASV-1567","Feature 12",0.944469705305955,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"17","ASV-1567","Feature 16",0.906381207388828,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"18","ASV-1567","Feature 60",-0.905057329145893,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"19","ASV-1567","Feature 113",-0.937373677581202,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"20","ASV-1567","Feature 18",-0.870188093630625,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"21","ASV-1567","Feature 66",0.88629635484333,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"22","ASV-1567","Feature 108",-0.968623063605836,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"23","ASV-1567","Feature 102",-0.971860139361527,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"24","ASV-1567","Feature 126",-0.976747985765436,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"25","ASV-1567","Feature 110",-0.947660946671029,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"26","ASV-1567","Feature 141",-0.897765879639991,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"27","ASV-1567","Feature 84",0.913577347327806,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"28","ASV-1567","Feature 118",-0.967281849621057,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"29","ASV-1567","Feature 138",-0.972313095138255,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"30","ASV-1567","Feature 53",0.90962061841098,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"31","ASV-1567","Feature 62",0.941102577898725,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"32","ASV-1567","Feature 125",-0.905174894787788,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"33","ASV-1567","Feature 139",-0.970087824542204,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"34","ASV-1567","Feature 56",-0.969153466723286,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"35","ASV-1567","Feature 14",0.943008584123149,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"36","ASV-1567","Arginine",0.936308413218384,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"37","ASV-1567","Feature 11",0.944400517684683,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"38","ASV-1567","Feature 25",0.863438364758639,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"39","ASV-1567","Feature 137",-0.965359647070433,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"40","ASV-1567","Feature 51",-0.884769264438238,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"41","ASV-1567","Feature 35",0.936108048330445,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
"42","ASV-1567","Feature 15",0.924772827454901,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Ekhidna uncultured_Flammeovirgaceae"
