"","ASV","Metabolite","Corr.r","Phylum","Class","Order","Family","Genus","Species"
"1","ASV-1041","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured uncultured_bacterium"
"2","ASV-1079","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella","Unclassified  Lewinella"
"3","ASV-1101","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"4","ASV-1115","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Portibacter","Portibacter uncultured_bacterium"
"5","ASV-1121","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","Unclassified  uncultured"
"6","ASV-1164","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens","Unclassified  Salinirepens"
"7","ASV-1176","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Unclassified Flavobacteriales","Unclassified Flavobacteriales","Unclassified Flavobacteriales"
"8","ASV-1358","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum","Unclassified  Tenacibaculum"
"9","ASV-1394","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Winogradskyella","Unclassified  Winogradskyella"
"10","ASV-1426","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured uncultured_organism"
"11","ASV-147","Glycerate",0.876436807541197,"Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","uncultured","uncultured uncultured_soil"
"12","ASV-1473","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales","Unclassified Cytophagales"
"13","ASV-1525","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured uncultured_Flammeovirgaceae"
"14","ASV-1546","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Ekhidna","Unclassified  Ekhidna"
"15","ASV-1575","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus","Candidatus_Amoebophilus Dictyostelium_polycephalum"
"16","ASV-1691","Glycerate",0.876436807541197,"Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Reichenbachiella","Reichenbachiella uncultured_Flammeovirgaceae"
"17","ASV-1808","Glycerate",0.876436807541197,"Planctomycetota","vadinHA49","vadinHA49","vadinHA49","vadinHA49","Unclassified  vadinHA49"
"18","ASV-1914","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Blastopirellula","Blastopirellula uncultured_bacterium"
"19","ASV-202","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae","Alteromonadaceae uncultured_gamma"
"20","ASV-2053","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Fuerstia","Fuerstia uncultured_Planctomyces"
"21","ASV-2061","Glycerate",0.876436807541197,"Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured uncultured_bacterium"
"22","ASV-2077","Glycerate",0.876436807541197,"Planctomycetota","BD7-11","BD7-11","BD7-11","BD7-11","BD7-11 uncultured_bacterium"
"23","ASV-2144","Glycerate",0.876436807541197,"Planctomycetota","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5","028H05-P-BN-P5 uncultured_bacterium"
"24","ASV-2389","Glycerate",0.876436807541197,"Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","uncultured","Unclassified  uncultured"
"25","ASV-2509","Glycerate",0.876436807541197,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Coraliomargarita","Unclassified  Coraliomargarita"
"26","ASV-2691","Glycerate",0.876436807541197,"Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","MBIC10086","MBIC10086 Pseudanabaena_cf."
"27","ASV-2739","Glycerate",0.876436807541197,"Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1)","Absconditabacteriales_(SR1) uncultured_Epsilonproteobacteria"
"28","ASV-2762","Glycerate",0.876436807541197,"Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister","Unclassified  Dialister"
"29","ASV-2783","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","uncultured","uncultured","uncultured","uncultured uncultured_marine"
"30","ASV-285","Glycerate",0.876436807541197,"Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Unclassified  Vibrio"
"31","ASV-3031","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria"
"32","ASV-3057","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_organism"
"33","ASV-3074","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12","SM2D12 uncultured_organism"
"34","ASV-3082","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"35","ASV-3088","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"36","ASV-3094","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"37","ASV-3117","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured unidentified_marine"
"38","ASV-3155","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_bacterium"
"39","ASV-3160","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured","uncultured uncultured_bacterium"
"40","ASV-3166","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured","uncultured uncultured_organism"
"41","ASV-3268","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unclassified  Sphingomonas"
"42","ASV-3271","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria","Unclassified Alphaproteobacteria"
"43","ASV-3286","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Unclassified Rhizobiales","Unclassified Rhizobiales","Unclassified Rhizobiales"
"44","ASV-3330","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Roseitalea","Roseitalea uncultured_bacterium"
"45","ASV-3339","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Labrenzia","Unclassified  Labrenzia"
"46","ASV-3383","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Caulobacterales","Parvularculaceae","Marinicaulis","Marinicaulis uncultured_bacterium"
"47","ASV-3454","Glycerate",0.876436807541197,"Proteobacteria","Alphaproteobacteria","Rickettsiales","Unclassified Rickettsiales","Unclassified Rickettsiales","Unclassified Rickettsiales"
