"","Metabolite","VIP"
"1","Feature 56",1.34826514523038
"2","Feature 138",1.34709678727039
"3","Feature 101",1.34289599495779
"4","Feature 139",1.34085781231491
"5","Feature 112",1.34007056728022
"6","Feature 126",1.33963270816964
"7","Feature 104",1.33870190877007
"8","Feature 114",1.33817814977741
"9","Feature 118",1.33428146557999
"10","Feature 108",1.33133705861607
"11","Feature 137",1.33041614303162
"12","Feature 102",1.33027602486406
"13","Feature 90",1.32823486771073
"14","Feature 127",1.3277886785425
"15","Feature 103",1.32332170932036
"16","Feature 113",1.3209804760377
"17","Feature 110",1.31810433032853
"18","Feature 105",1.31765868655426
"19","Feature 60",1.31550444440306
"20","Feature 107",1.31214144755217
"21","Feature 92",1.30727165147308
"22","Feature 91",1.30584431877167
"23","Feature 133",1.30524065839056
"24","Feature 109",1.29950903524059
"25","Feature 100",1.2914310119762
"26","Feature 134",1.28585236851342
"27","Feature 140",1.28441588244974
"28","Feature 106",1.2797979838789
"29","Feature 125",1.27846606445052
"30","Feature 83",1.27552656154679
"31","Feature 115",1.27543624544919
"32","Feature 117",1.27423475563967
"33","Feature 18",1.27181119984459
"34","Feature 19",1.27181119984459
"35","Feature 141",1.26684586731853
"36","Feature 95",1.26356393020546
"38","Feature 128",1.26300878602908
"40","Feature 77",1.25475989366859
"41","Feature 51",1.25140310839334
"42","Feature 29",1.23333944504836
"43","Feature 86",1.23112453245046
"55","Feature 34",1.21227235954945
"56","Feature 94",1.20986404055899
"57","Feature 116",1.20768491855099
"60","Feature 70",1.19438295671983
"67","Feature 52",1.17195791218232
"73","Feature 55",1.16145557793943
"74","Feature 68",1.158075854303
"75","Feature 76",1.14685337925459
"76","Feature 85",1.13907118857454
"80","Feature 79",1.12070846670322
"82","Feature 93",1.11113753196308
"86","Feature 132",1.10043291677163
"91","Feature 5",1.05821070232216
"97","Feature 39",1.02710709378339
"100","Feature 88",1.02402180681387
