Sample,Time,Treatment,Subject
Bleached_Hot_Day0_1,0,Bleached_Hot,R8
Bleached_Hot_Day0_2,0,Bleached_Hot,R19
Bleached_Hot_Day0_3,0,Bleached_Hot,R20
Bleached_Hot_Day0_4,0,Bleached_Hot,R29
Bleached_Hot_Day0_5,0,Bleached_Hot,R37
Bleached_Hot_Day37_1,37,Bleached_Hot,R8
Bleached_Hot_Day37_2,37,Bleached_Hot,R19
Bleached_Hot_Day37_3,37,Bleached_Hot,R20
Bleached_Hot_Day37_4,37,Bleached_Hot,R29
Bleached_Hot_Day37_5,37,Bleached_Hot,R37
Bleached_Hot_Day52_1,52,Bleached_Hot,R8
Bleached_Hot_Day52_2,52,Bleached_Hot,R19
Bleached_Hot_Day52_3,52,Bleached_Hot,R20
Bleached_Hot_Day52_4,52,Bleached_Hot,R29
Bleached_Hot_Day52_5,52,Bleached_Hot,R37
Control_Ambient_Day0_1,0,Control_Ambient,R7
Control_Ambient_Day0_2,0,Control_Ambient,R17
Control_Ambient_Day0_3,0,Control_Ambient,R23
Control_Ambient_Day0_4,0,Control_Ambient,R32
Control_Ambient_Day0_5,0,Control_Ambient,R40
Control_Ambient_Day37_1,37,Control_Ambient,R7
Control_Ambient_Day37_2,37,Control_Ambient,R17
Control_Ambient_Day37_3,37,Control_Ambient,R23
Control_Ambient_Day37_4,37,Control_Ambient,R32
Control_Ambient_Day37_5,37,Control_Ambient,R40
Control_Ambient_Day52_1,52,Control_Ambient,R7
Control_Ambient_Day52_2,52,Control_Ambient,R17
Control_Ambient_Day52_3,52,Control_Ambient,R23
Control_Ambient_Day52_4,52,Control_Ambient,R32
Control_Ambient_Day52_5,52,Control_Ambient,R40
Mortality_Hot_Day0_1,0,Mortality_Hot,R11
Mortality_Hot_Day0_2,0,Mortality_Hot,R26
Mortality_Hot_Day0_3,0,Mortality_Hot,R28
Mortality_Hot_Day0_4,0,Mortality_Hot,R35
Mortality_Hot_Day0_5,0,Mortality_Hot,R36
Mortality_Hot_Day37_1,37,Mortality_Hot,R11
Mortality_Hot_Day37_2,37,Mortality_Hot,R26
Mortality_Hot_Day37_3,37,Mortality_Hot,R28
Mortality_Hot_Day37_4,37,Mortality_Hot,R35
Mortality_Hot_Day37_5,37,Mortality_Hot,R36
Mortality_Hot_Day52_1,52,Mortality_Hot,R11
Mortality_Hot_Day52_2,52,Mortality_Hot,R26
Mortality_Hot_Day52_3,52,Mortality_Hot,R28
Mortality_Hot_Day52_4,52,Mortality_Hot,R35
Mortality_Hot_Day52_5,52,Mortality_Hot,R36
