"","total","expected","hits","Raw p","Holm p","FDR"
"Aminoacyl-tRNA biosynthesis",48,0.505,4,0.0012,0.101,0.0637
"Phosphonate and phosphinate metabolism",6,0.0631,2,0.00152,0.126,0.0637
"Arginine and proline metabolism",38,0.399,3,0.00643,0.527,0.18
"Arginine biosynthesis",14,0.147,2,0.00876,0.71,0.184
"Neomycin, kanamycin and gentamicin biosynthesis",2,0.021,1,0.0209,1,0.351
"Glutathione metabolism",28,0.294,2,0.0334,1,0.468
"Glycerophospholipid metabolism",36,0.378,2,0.053,1,0.636
"Biotin metabolism",10,0.105,1,0.101,1,1
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",14,0.147,1,0.138,1,1
"Histidine metabolism",16,0.168,1,0.156,1,1
"Starch and sucrose metabolism",18,0.189,1,0.174,1,1
"beta-Alanine metabolism",21,0.221,1,0.2,1,1
"Sphingolipid metabolism",21,0.221,1,0.2,1,1
"Pentose phosphate pathway",22,0.231,1,0.209,1,1
"Lysine degradation",25,0.263,1,0.234,1,1
"Glycolysis / Gluconeogenesis",26,0.273,1,0.242,1,1
"Galactose metabolism",27,0.284,1,0.25,1,1
"Inositol phosphate metabolism",30,0.315,1,0.274,1,1
"Porphyrin and chlorophyll metabolism",30,0.315,1,0.274,1,1
"Glyoxylate and dicarboxylate metabolism",32,0.336,1,0.289,1,1
"Glycine, serine and threonine metabolism",33,0.347,1,0.297,1,1
"Amino sugar and nucleotide sugar metabolism",37,0.389,1,0.327,1,1
"Pyrimidine metabolism",39,0.41,1,0.341,1,1
"Primary bile acid biosynthesis",46,0.484,1,0.39,1,1
"Purine metabolism",65,0.683,1,0.504,1,1
