"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1","Asparagine","L-Asparagine","HMDB0000168","6267","C00152","C([C@@H](C(=O)O)N)C(=O)N","1"
"2","Cellobiose","Cellobiose","HMDB0000055","10712","C06422","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"3","Feature 122","NA","NA","NA","NA","NA","0"
"4","Feature 123","NA","NA","NA","NA","NA","0"
"5","Feature 97","NA","NA","NA","NA","NA","0"
"6","Feature 98","NA","NA","NA","NA","NA","0"
"7","Feature 98.1","NA","NA","NA","NA","NA","0"
"8","Glucose","D-Glucose","HMDB0000122","5793","C00221","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"9","Malate","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"10","Raffinose","Raffinose","HMDB0003213","10542","C00492","C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O[C@]3([C@H]([C@@H]([C@H](O3)CO)O)O)CO)O)O)O)O)O)O)O","1"
"11","Sucrose","Sucrose","HMDB0000258","5988","C00089","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O","1"
