"","Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"1","1-Methylhistidine","1-Methylhistidine","HMDB0000001","92105","C01152","CN1C=C(N=C1)C[C@@H](C(=O)O)N","1"
"2","11a-Hydroxyprogesterone","11a-Hydroxyprogesterone","HMDB0000920","440105","C03747","CC(=O)C1CC[C@@H]2[C@@]1(C[C@H]([C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)O)C","1"
"3","3-Phenylbutyric acid","3-Phenylbutyric acid","HMDB0001955","20724",NA,"CC(CC(=O)O)C1=CC=CC=C1","1"
"4","5-Hydroxytryptophan","5-Hydroxy-L-tryptophan","HMDB0000472","144","C00643","C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N","1"
"5","5-Methoxytryptamine","5-Methoxytryptamine","HMDB0004095","1833","C05659","COC1=CC2=C(C=C1)NC=C2CCN","1"
"6","5-Methylcytosine","5-Methylcytosine","HMDB0002894","65040","C02376","CC1=C(NC(=O)N=C1)N","1"
"7","5-Phenylvaleric acid","5-Phenylvaleric acid","HMDB0002043","16757",NA,"C1=CC=C(C=C1)CCCCC(=O)O","1"
"8","a-ketoglutarate","Oxoglutaric acid","HMDB0000208","51","C00026","C(CC(=O)O)C(=O)C(=O)O","1"
"9","Acetyl glycine","Phenylacetylglycine","HMDB0000821","68144","C05598","C1=CC=C(C=C1)CC(=O)NCC(=O)O","1"
"10","Acetyl-arginine","N-a-Acetyl-L-arginine","HMDB0004620","67427",NA,"CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O","1"
"11","Acetyllysine","N-Alpha-acetyllysine","HMDB0000446","192590","C12989","CC(=O)NC(CCCCN)C(=O)O","1"
"12","Aconitate","cis-Aconitic acid","HMDB0000072","643757","C00417","C(/C(=C/C(=O)O)/C(=O)O)C(=O)O","1"
"13","Adenosine","Adenosine","HMDB0000050","60961","C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"14","ADP","ADP","HMDB0001341","6022","C00008","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O","1"
"15","ADP-D-Glucose","ADP-glucose","HMDB0006557","16500","C00498","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O","1"
"16","Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","C00956","C(CC(C(=O)O)N)CC(=O)O","1"
"17","AMP","Adenosine monophosphate","HMDB0000045","6083","C00020","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"18","Androstenedione","Androstenedione","HMDB0000053","6128","C00280","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","1"
"19","Arginine-Alanine","Arginyl-Alanine","HMDB0028702","7020333",NA,"CC(NC(=O)C(N)CCCNC(N)=N)C(O)=O","1"
"20","Arginine-Glutamine","Arginyl-Glutamine","HMDB0028707","9857557",NA,"NC(CCCNC(N)=N)C(=O)NC(CCC(N)=O)C(O)=O","1"
"21","Arginine-Valine","Arginyl-Valine","HMDB0028722","6992654",NA,"CC(C)C(NC(=O)C(N)CCCNC(N)=N)C(O)=O","1"
"22","Ascorbic acid","Ascorbic acid","HMDB0000044","54670067","C01041","C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","1"
"23","Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"24","Carbamoyl phosphate","Carbamoyl phosphate","HMDB0001096","278","C00169","C(=O)(N)OP(=O)(O)O","1"
"25","Carnitine","L-Carnitine","HMDB0000062","2724480","C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O","1"
"26","Carnosine","Carnosine","HMDB0000033","439224","C00386","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","1"
"27","Cholesteryl sulfate","Cholesterol sulfate","HMDB0000653","65076","C18043","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C","1"
"28","Citramalic acid","Citramalic acid","HMDB0000426","441696","C00815","CC(CC(=O)O)(C(=O)O)O","1"
"29","Citrate","Citric acid","HMDB0000094","311","C00158","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","1"
"30","Citrulline","Citrulline","HMDB0000904","9750","C00327","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"31","CMP","Cytidine monophosphate","HMDB0000095","8117","C00055","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"32","Creatine","Creatine","HMDB0000064","586","C00300","CN(CC(=O)O)C(=N)N","1"
"33","Creatinine","Creatinine","HMDB0000562","588","C00791","CN1CC(=O)N=C1N","1"
"34","Cystine","L-Cystine","HMDB0000192","67678","C00491","C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N","1"
"35","Cytidine","Cytidine","HMDB0000089","6253","C00475","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"36","Cytosine","Cytosine","HMDB0000630","597","C00380","C1=C(NC(=O)N=C1)N","1"
"37","Deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O","1"
"38","Deoxyguanosine","Deoxyguanosine","HMDB0000085","187790","C00330","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O","1"
"39","Dihydroorotate","4,5-Dihydroorotic acid","HMDB0000528","648","C00337","C1C(NC(=O)NC1=O)C(=O)O","1"
"40","Dihydroxyacetone phosphate","Dihydroxyacetone phosphate","HMDB0001473","668","C00111","C(C(=O)COP(=O)(O)O)O","1"
