"","Total","Expected","Hits","Raw p","-log(p)","Holm adjust","FDR","Impact"
"Aminoacyl-tRNA biosynthesis",45,1.2114,9,8.3515e-07,13.996,6.7647e-05,6.7647e-05,0
"Glyoxylate and dicarboxylate metabolism",31,0.8345,4,0.0079747,4.8315,0.63797,0.26456,0.20679
"Arginine biosynthesis",6,0.16152,2,0.0097984,4.6255,0.77407,0.26456,0
"Alanine, aspartate and glutamate metabolism",20,0.53838,3,0.014621,4.2253,1,0.28658,0.23077
"Valine, leucine and isoleucine biosynthesis",8,0.21535,2,0.01769,4.0348,1,0.28658,0
"Glutathione metabolism",25,0.67298,3,0.026962,3.6133,1,0.36398,0.11845
"Arginine and proline metabolism",27,0.72682,3,0.033079,3.4089,1,0.38277,0.20254
"Pyrimidine metabolism",40,1.0768,3,0.088587,2.4238,1,0.86254,0.15566
"Citrate cycle (TCA cycle)",20,0.53838,2,0.098468,2.318,1,0.86254,0.1345
"Lysine degradation",21,0.5653,2,0.10707,2.2343,1,0.86254,0
"Phosphonate and phosphinate metabolism",5,0.1346,1,0.12778,2.0574,1,0.86254,0
"D-Glutamine and D-glutamate metabolism",5,0.1346,1,0.12778,2.0574,1,0.86254,0
"Nitrogen metabolism",6,0.16152,1,0.15138,1.888,1,0.94322,0
"Glycine, serine and threonine metabolism",28,0.75374,2,0.17203,1.7601,1,0.99533,0.2768
"Histidine metabolism",8,0.21535,1,0.19674,1.6259,1,1,0
"Glycerophospholipid metabolism",32,0.86142,2,0.21168,1.5527,1,1,0.0422
"Starch and sucrose metabolism",14,0.37687,1,0.31926,1.1418,1,1,0.04
"Galactose metabolism",15,0.40379,1,0.33784,1.0852,1,1,0.01
"Sphingolipid metabolism",17,0.45763,1,0.37355,0.98469,1,1,0.02564
"Selenocompound metabolism",18,0.48455,1,0.39071,0.93979,1,1,0
"Pyruvate metabolism",19,0.51147,1,0.40741,0.89794,1,1,0.15863
"Purine metabolism",60,1.6152,2,0.48856,0.71629,1,1,0
"Valine, leucine and isoleucine degradation",40,1.0768,1,0.67164,0.39804,1,1,0
