"","Metabolite","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","p.adj","Enrichment.dir","Feature.status"
"1","Adenine",1.79297163106692,17.8889054007536,16.0959337696866,2.85634487419202,0.0260027555896992,6.61467164366063,0.290951096687281,3.29499216544656,"Welch Two Sample t-test","two.sided",0.0273611084936387,"Control","Identified"
"2","Feature 100",3.64780309286687,13.9876691774327,10.3398660845659,10.7790105169759,4.84544062967917e-06,7.99780962420312,2.86737431211796,4.42823187361577,"Welch Two Sample t-test","two.sided",0.000140836062772432,"Control","Unknown"
"3","Feature 101",3.45054569596533,13.4163299806274,9.96578428466209,20.2079550697413,3.54001263217461e-05,4,2.97646256015267,3.92462883177799,"Welch Two Sample t-test","two.sided",0.000332761187424414,"Control","Unknown"
"4","Feature 102",3.70151771226747,13.6863659353504,9.98484822308297,14.2718870259218,0.000130663090951363,4.04345686354998,2.98446839928415,4.41856702525078,"Welch Two Sample t-test","two.sided",0.00073693983296569,"Control","Unknown"
"5","Feature 103",2.51101003855957,12.7210036872029,10.2099936486434,9.8070417011373,1.89752659981468e-05,7.2664940306993,1.91004025336386,3.11197982375527,"Welch Two Sample t-test","two.sided",0.000222959375478225,"Control","Unknown"
"6","Feature 104",2.20524108874869,12.3226705878027,10.117429499054,12.5596955261388,1.63315129398894e-06,7.9307315244135,1.79973471101338,2.610747466484,"Welch Two Sample t-test","two.sided",0.00011513716622622,"Control","Unknown"
"7","Feature 105",1.70523608323829,11.6710203679004,9.96578428466209,11.0736085198202,0.000378220380655653,4,1.27768851660366,2.13278364987291,"Welch Two Sample t-test","two.sided",0.0015700876045033,"Control","Unknown"
"8","Feature 106",2.20960701418414,12.3740618461155,10.1644548319314,8.21671370543412,0.00102206029355917,4.1475911555942,1.47333843044974,2.94587559791854,"Welch Two Sample t-test","two.sided",0.00271906606399705,"Control","Unknown"
"9","Feature 107",2.77830287615321,12.7754169619354,9.99711408578223,10.6041431786252,0.000384935638740402,4.11602743610275,2.05888584149338,3.49771991081303,"Welch Two Sample t-test","two.sided",0.0015700876045033,"Control","Unknown"
"10","Feature 108",2.49504790690633,12.4921619926886,9.99711408578223,14.1021576391784,9.79591106708148e-05,4.25870201534719,2.01536830521105,2.9747275086016,"Welch Two Sample t-test","two.sided",0.000627828845662949,"Control","Unknown"
"11","Feature 109",1.49355842259709,11.4593427072592,9.96578428466209,9.5423604634337,0.000673568846093466,4,1.05899267886554,1.92812416632864,"Welch Two Sample t-test","two.sided",0.00211051571775953,"Control","Unknown"
"12","Feature 110",1.75033248053964,11.8503917996678,10.1000593191282,10.1777896058843,0.000116166087873225,5.26608866419921,1.31488977416007,2.18577518691921,"Welch Two Sample t-test","two.sided",0.000682475766255194,"Control","Unknown"
"13","Feature 112",4.29237286972098,14.492640729654,10.200267859933,16.6126744765514,1.29351027883389e-05,5.06819022729054,3.63086633837998,4.95387940106198,"Welch Two Sample t-test","two.sided",0.000215408597243705,"Control","Unknown"
"14","Feature 113",3.01233314131794,13.5805053320755,10.5681721907575,9.3363838128388,0.000194123075733725,5.18989435609159,2.19199394671032,3.83267233592556,"Welch Two Sample t-test","two.sided",0.000965214678389035,"Control","Unknown"
"15","Feature 114",4.1615554278247,15.1213598847594,10.9598044569347,11.0460733204168,4.27016296149615e-06,7.93847614201015,3.29160598992871,5.03150486572069,"Welch Two Sample t-test","two.sided",0.000140836062772432,"Control","Unknown"
"16","Feature 116",0.75297801260168,13.6924339489308,12.9394559363292,2.54898542075118,0.0362993655015661,7.43694044885078,0.0626948777183709,1.44326114748499,"Welch Two Sample t-test","two.sided",0.0365586466837201,"Control","Unknown"
"17","Feature 117",1.8985203506802,11.9370516239826,10.0385312733024,7.37442095860874,0.0013071228616248,4.33617692462817,1.20506722474474,2.59197347661567,"Welch Two Sample t-test","two.sided",0.00305781709454394,"Control","Unknown"
"18","Feature 118",3.69620524979267,13.6619895344548,9.96578428466209,15.1525187429507,0.000110587432277975,4,3.01893758573731,4.37347291384803,"Welch Two Sample t-test","two.sided",0.000677949041356279,"Control","Unknown"
"19","Feature 125",2.24146659519973,12.2072508798618,9.96578428466209,7.51011838383939,0.00168228014151248,4,1.41281002300797,3.07012316739149,"Welch Two Sample t-test","two.sided",0.00348825735225381,"Control","Unknown"
"20","Feature 126",4.68778111914717,14.6535654038093,9.96578428466209,18.3742926161212,5.1615638539043e-05,4,3.97943456048426,5.39612767781008,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Control","Unknown"
"21","Feature 127",3.61871743033955,13.6843288908553,10.0656114605158,12.6981659888832,4.72109574786995e-05,5.0974918401461,2.89034829582232,4.34708656485678,"Welch Two Sample t-test","two.sided",0.000346562144476431,"Control","Unknown"
"22","Feature 128",3.99566664489778,15.6950749517551,11.6994083068573,11.251552474311,1.19625439839255e-05,6.81222296920785,3.15122290482938,4.84011038496618,"Welch Two Sample t-test","two.sided",0.000215408597243705,"Control","Unknown"
"23","Feature 129",1.839702066903,15.485763234412,13.646061167509,4.30643892712612,0.0054355367108438,5.81476951986062,0.786261232190145,2.89314290161586,"Welch Two Sample t-test","two.sided",0.00758822451711857,"Control","Unknown"
"24","Feature 130",1.81495873643456,14.2577667213977,12.4428079849631,4.28098927370443,0.00562219858666303,5.79804529232724,0.768749205022231,2.86116826784689,"Welch Two Sample t-test","two.sided",0.00772726692509728,"Control","Unknown"
"25","Feature 132",1.74892309555068,13.289161658287,11.5402385627364,5.55032843682363,0.000547170475566151,7.97321254052906,1.02186997473031,2.47597621637105,"Welch Two Sample t-test","two.sided",0.00193013566969614,"Control","Unknown"
