"","Metabolite","colors"
"1","1 3-Dimethyluric acid","grey"
"2","1-Methylhistidine","grey"
"3","11a-Hydroxyprogesterone","grey"
"4","2-Aminoethylphosphonate","blue"
"5","3-Phenylbutyric acid","grey"
"6","4-Guanidinobutanoic acid","blue"
"7","5- Methylthioadenosine","turquoise"
"8","5-Hydroxytryptophan","grey"
"9","5-Methoxytryptamine","grey"
"10","5-Methylcytosine","grey"
"11","5-Phenylvaleric acid","grey"
"12","a-ketoglutarate","grey"
"13","Acetyl glycine","grey"
"14","Acetyl proline","turquoise"
"15","Acetyl-arginine","grey"
"16","Acetyllysine","grey"
"17","Aconitate","grey"
"18","Adenine","turquoise"
"19","Adenosine","grey"
"20","ADP","grey"
"21","ADP-D-Glucose","grey"
"22","Alanine","yellow"
"23","Aminoadipic acid","grey"
"24","AMP","grey"
"25","Androstenedione","grey"
"26","Arginine","blue"
"27","Arginine-Alanine","grey"
"28","Arginine-Glutamine","grey"
"29","Arginine-Valine","grey"
"30","Ascorbic acid","grey"
"31","Asparagine","brown"
"32","Aspartate","turquoise"
"33","Betaine","grey"
"34","Carbamoyl phosphate","grey"
"35","Carnitine","grey"
"36","Carnosine","grey"
"37","CDP-Choline","turquoise"
"38","CDP-Choline ","grey"
"39","Cellobiose","brown"
"40","Cholesteryl sulfate","grey"
"41","Citramalic acid","grey"
"42","Citrate","grey"
"43","Citrulline","grey"
"44","CMP","grey"
"45","Creatine","grey"
"46","Creatinine","grey"
"47","Cystathionine","turquoise"
"48","Cystine","grey"
"49","Cytidine","grey"
"50","Cytosine","grey"
"51","D-2-Aminobutyric acid","blue"
"52","Deoxycytidine","grey"
"53","Deoxyguanosine","grey"
"54","Dihydroorotate","grey"
"55","Dihydroxyacetone phosphate","grey"
"56","Dihydroxybenzeneacetic acid","grey"
"57","Feature 10","blue"
"58","Feature 100","turquoise"
"59","Feature 101","turquoise"
"60","Feature 102","turquoise"
"61","Feature 103","turquoise"
"62","Feature 104","turquoise"
"63","Feature 105","turquoise"
"64","Feature 106","turquoise"
"65","Feature 107","turquoise"
"66","Feature 108","turquoise"
"67","Feature 109","turquoise"
"68","Feature 11","blue"
"69","Feature 110","turquoise"
"70","Feature 112","turquoise"
"71","Feature 113","turquoise"
"72","Feature 114","turquoise"
"73","Feature 115","turquoise"
"74","Feature 116","turquoise"
"75","Feature 117","turquoise"
"76","Feature 118","turquoise"
"77","Feature 12","blue"
"78","Feature 120","grey"
"79","Feature 121","grey"
"80","Feature 122","brown"
"81","Feature 123","brown"
"82","Feature 124","grey"
"83","Feature 125","turquoise"
"84","Feature 126","turquoise"
"85","Feature 127","turquoise"
"86","Feature 128","turquoise"
"87","Feature 129","turquoise"
"88","Feature 13","blue"
"89","Feature 130","turquoise"
"90","Feature 132","turquoise"
"91","Feature 133","turquoise"
"92","Feature 134","turquoise"
"93","Feature 137","turquoise"
"94","Feature 138","turquoise"
"95","Feature 139","turquoise"
"96","Feature 14","blue"
"97","Feature 140","turquoise"
"98","Feature 141","turquoise"
"99","Feature 15","blue"
"100","Feature 16","blue"
"101","Feature 17","blue"
"102","Feature 18","turquoise"
"103","Feature 19","turquoise"
"104","Feature 21","grey"
"105","Feature 22","blue"
"106","Feature 23","blue"
"107","Feature 24","grey"
"108","Feature 25","blue"
"109","Feature 26","blue"
"110","Feature 27","blue"
"111","Feature 28","turquoise"
"112","Feature 29","turquoise"
"113","Feature 30","grey"
"114","Feature 31","grey"
"115","Feature 32","turquoise"
"116","Feature 33","grey"
"117","Feature 34","turquoise"
"118","Feature 35","blue"
"119","Feature 36","blue"
"120","Feature 37","blue"
"121","Feature 38","grey"
"122","Feature 39","turquoise"
"123","Feature 40","blue"
"124","Feature 41","blue"
"125","Feature 42","blue"
"126","Feature 43","blue"
"127","Feature 45","blue"
"128","Feature 47","blue"
"129","Feature 48","grey"
"130","Feature 5","turquoise"
"131","Feature 50","blue"
"132","Feature 51","turquoise"
"133","Feature 52","turquoise"
