"","Fragment.ID","Day","Group","Coral_Protein_mgcm2","Symbiont_Protein_mgcm2","HostSymRatioProtein"
"1","R40","37","Control",0.888482767191348,1.14464208603918,0.77621011670624
"2","R35","37","Mortality",1.18833696276731,1.35989859540982,0.873842334111092
"3","R32","37","Control",1.42732525570296,1.40836378394121,1.01346347582774
"4","R36","52","Mortality",1.10200988933371,1.45984029908051,0.754883866425539
"5","R11","0","Mortality",1.23784818478678,1.74326495281871,0.710074611885751
"6","R19","52","Bleached",0.825289046607944,1.24529563499589,0.662725399025965
"7","R11","37","Mortality",1.83900780342313,1.54472053532606,1.19051165655343
"8","R26","37","Mortality",1.53825246726531,1.99775113603567,0.769992037305415
"9","R28","52","Mortality",0.597739020686976,0.890672163954846,0.671110027771429
"10","R20","0","Bleached",1.4416994334041,1.4976325824623,0.962652288877002
"11","R8","37","Bleached",0.873171848234422,1.29809292705456,0.672657426934522
"12","R29","37","Bleached",1.13604088075955,1.20856041113154,0.939995113439064
"13","R37","52","Bleached",1.12116544335203,1.28730243600408,0.870941755406165
"14","R20","37","Bleached",1.55417797868062,1.69218690114568,0.918443451860061
"15","R7","37","Control",0.845095891487097,1.11703569310896,0.756552271964563
"16","R23","37","Control",0.982559656645333,1.32348736336721,0.742401993280469
"17","R17","52","Control",0.873671719371755,1.15893865624419,0.753855016108523
"18","R19","37","Bleached",1.16806747814819,0.954477448013348,1.22377692692416
"19","R7","0","Control",0.965466797270821,1.39121519273472,0.69397373052906
"20","R29","52","Bleached",1.19881338493962,1.5509649334224,0.772946801765714
"21","R8","52","Bleached",0.83375654431347,1.28345671600857,0.649617968345965
"22","R26","52","Mortality",0.756285990006929,1.22172280784215,0.619032390287212
"23","R11","52","Mortality",0.777780054261953,1.04723006708319,0.742702180456179
"24","R8","0","Bleached",1.06006046268118,1.53461583544903,0.690766013352787
"25","R23","52","Control",0.866049641192118,1.12892323341807,0.767146618614586
"26","R20","52","Bleached",1.10412228112257,1.45367447748132,0.759538877669235
"27","R40","0","Control",0.910387219846215,1.03567492608256,0.879027962267807
"28","R17","37","Control",0.65699324452567,1.09318650156461,0.600989166610963
"29","R36","0","Mortality",1.17508905520963,1.18921866090684,0.988118580575891
"30","R40","52","Control",0.964805159128165,1.44239724751417,0.668890044535866
"31","R32","0","Control",1.78375921384669,2.25839766703694,0.789833978259026
"32","R23","0","Control",1.07675205390947,1.25530011254665,0.857764643807005
"33","R28","0","Mortality",1.19325385432072,1.35331289378066,0.88172798752195
"34","R35","0","Mortality",1.63394454075463,1.39693451565676,1.16966437756493
"35","R17","0","Control",1.13052648935235,1.26099142725482,0.896537807408816
"36","R19","0","Bleached",0.937307586308632,0.838438562720916,1.11792041538126
"37","R37","0","Bleached",1.78773238267297,1.72113458448486,1.0386941258333
"38","R32","52","Control",1.11122007952479,1.39828676800819,0.794701133521908
"39","R28","37","Mortality",0.974732577485914,0.972474040344056,1.00232246522597
"40","R36","37","Mortality",0.982131820326425,0.865749020666949,1.13443018343794
"41","R7","52","Control",0.677284601903749,1.02243496232883,0.6624231631918
"42","R35","52","Mortality",1.24318996767234,1.7403353413382,0.714339321935744
"43","R26","0","Mortality",1.04299952402773,1.43238590820485,0.728155393077606
"44","R29","0","Bleached",1.55610402327164,1.64777169005919,0.944368708759492
"45","R37","37","Bleached",1.66094068725259,2.08170565089234,0.797874899624071
