"","Fragment.ID","Day","Group","Cells.cm2.x6"
"1","R40","37","Control",0.845941109484301
"2","R36","37","Mortality",0.472311496506512
"3","R11","37","Mortality",0.419004863449308
"4","R19","37","Bleached",0.379266750948167
"5","R36","0","Mortality",1.37582138590203
"6","R28","0","Mortality",1.63701138444391
"7","R35","0","Mortality",1.82938388625592
"8","R17","0","Control",2.02212358204749
"9","R19","0","Bleached",1.14334890582739
"10","R37","0","Bleached",1.47025431425976
"11","R32","52","Control",1.11017028883244
"12","R28","37","Mortality",0.192133405836505
"13","R7","52","Control",0.956378943473032
"14","R35","52","Mortality",0.880881139083781
"15","R26","0","Mortality",1.34799521244764
"16","R29","0","Bleached",1.06476217547849
"17","R37","37","Bleached",0.558837755666114
"18","R35","37","Mortality",0.363073021341755
"19","R32","37","Control",1.02704809883651
"20","R36","52","Mortality",0.341815419673376
"21","R11","0","Mortality",1.44370506348478
"22","R19","52","Bleached",0.196382823501468
"23","R26","37","Mortality",0.40464924140003
"24","R28","52","Mortality",0.103375446900009
"25","R20","0","Bleached",1.6895325203252
"26","R8","37","Bleached",0.133509617877327
"27","R29","37","Bleached",0.161871298506143
"28","R37","52","Bleached",0.114597240765465
"29","R20","37","Bleached",0.479384003974168
"30","R7","37","Control",1.1229514358743
"31","R23","37","Control",1.18387618387618
"32","R17","52","Control",0.826031398320555
"33","R7","0","Control",1.26777803683842
"34","R29","52","Bleached",0.225507510586984
"35","R8","52","Bleached",0.232987868562706
"36","R26","52","Mortality",0.408026113671275
"37","R11","52","Mortality",0.154096500355251
"38","R8","0","Bleached",2.10993180536328
"39","R23","52","Control",0.700903753545748
"40","R20","52","Bleached",0.299432797421265
"41","R40","0","Control",1.76123903508772
"42","R17","37","Control",1.38262487315368
"43","R40","52","Control",0.943021639864999
"44","R32","0","Control",2.40363190730838
"45","R23","0","Control",1.36871190109953
