"","gene","colors"
"1","Pastreoides47564","turquoise"
"2","Pastreoides27916","turquoise"
"3","Pastreoides51788","turquoise"
"4","Pastreoides27917","turquoise"
"5","Pastreoides17560","turquoise"
"6","Pastreoides55840","turquoise"
"7","Pastreoides55845","turquoise"
"8","Pastreoides22856","turquoise"
"9","Pastreoides22850","turquoise"
"10","Pastreoides13214","turquoise"
"11","Pastreoides22853","turquoise"
"12","Pastreoides23110","turquoise"
"13","Pastreoides23111","turquoise"
"14","Pastreoides37660","turquoise"
"15","Pastreoides35009","turquoise"
"16","Pastreoides23388","turquoise"
"17","Pastreoides37976","grey"
"18","Pastreoides35183","turquoise"
"19","Pastreoides12981","turquoise"
"20","Pastreoides12982","brown"
"21","Pastreoides11868","blue"
"22","Pastreoides61469","turquoise"
"23","Pastreoides23802","grey"
"24","Pastreoides23804","turquoise"
"25","Pastreoides09208","blue"
"26","Pastreoides09202","turquoise"
"27","Pastreoides35363","turquoise"
"28","Pastreoides57558","blue"
"29","Pastreoides57555","turquoise"
"30","Pastreoides12364","grey"
"31","Pastreoides29727","turquoise"
"32","Pastreoides29724","grey"
"33","Pastreoides60417","blue"
"34","Pastreoides60411","turquoise"
"35","Pastreoides21537","turquoise"
"36","Pastreoides35826","turquoise"
"37","Pastreoides40252","turquoise"
"38","Pastreoides36275","turquoise"
"39","Pastreoides41471","turquoise"
"40","Pastreoides36277","turquoise"
"41","Pastreoides13572","turquoise"
"42","Pastreoides13575","blue"
"43","Pastreoides13574","turquoise"
"44","Pastreoides13578","turquoise"
"45","Pastreoides09626","grey"
"46","Pastreoides08988","yellow"
"47","Pastreoides08982","turquoise"
"48","Pastreoides11043","turquoise"
"49","Pastreoides16893","blue"
"50","Pastreoides55303","blue"
"51","Pastreoides18499","grey"
"52","Pastreoides18498","turquoise"
"53","Pastreoides46962","brown"
"54","Pastreoides46966","turquoise"
"55","Pastreoides46964","turquoise"
"56","Pastreoides46965","turquoise"
"57","Pastreoides50840","grey"
"58","Pastreoides38530","brown"
"59","Pastreoides03539","turquoise"
"60","Pastreoides21221","blue"
"61","Pastreoides46344","turquoise"
"62","Pastreoides46341","turquoise"
"63","Pastreoides36910","turquoise"
"64","Pastreoides36912","brown"
"65","Pastreoides01970","turquoise"
"66","Pastreoides01979","turquoise"
"67","Pastreoides14795","turquoise"
"68","Pastreoides14792","turquoise"
"69","Pastreoides14793","grey"
"70","Pastreoides14791","turquoise"
"71","Pastreoides16304","turquoise"
"72","Pastreoides09565","turquoise"
"73","Pastreoides08396","turquoise"
"74","Pastreoides28228","blue"
"75","Pastreoides44236","brown"
"76","Pastreoides37666","turquoise"
"77","Pastreoides37668","turquoise"
"78","Pastreoides01028","grey"
"79","Pastreoides45723","brown"
"80","Pastreoides04618","turquoise"
"81","Pastreoides04619","turquoise"
"82","Pastreoides04617","blue"
"83","Pastreoides04610","blue"
"84","Pastreoides05327","turquoise"
"85","Pastreoides34400","yellow"
"86","Pastreoides34407","grey"
"87","Pastreoides03885","turquoise"
"88","Pastreoides03947","turquoise"
"89","Pastreoides39116","grey"
"90","Pastreoides59054","turquoise"
"91","Pastreoides39119","yellow"
"92","Pastreoides39118","turquoise"
"93","Pastreoides38246","brown"
"94","Pastreoides38242","turquoise"
"95","Pastreoides38241","turquoise"
"96","Pastreoides24346","turquoise"
"97","Pastreoides30479","turquoise"
"98","Pastreoides30473","turquoise"
"99","Pastreoides30477","turquoise"
"100","Pastreoides61705","turquoise"
"101","Pastreoides61701","brown"
"102","Pastreoides32937","turquoise"
"103","Pastreoides16995","turquoise"
"104","Pastreoides51246","grey"
"105","Pastreoides51242","blue"
"106","Pastreoides03791","turquoise"
"107","Pastreoides21437","blue"
"108","Pastreoides21431","turquoise"
"109","Pastreoides16762","blue"
"110","Pastreoides31984","turquoise"
"111","Pastreoides56613","turquoise"
"112","Pastreoides14241","blue"
"113","Pastreoides11533","turquoise"
"114","Pastreoides11532","turquoise"
"115","Pastreoides11535","brown"
"116","Pastreoides11536","turquoise"
"117","Pastreoides60898","turquoise"
"118","Pastreoides60893","yellow"
"119","Pastreoides53978","turquoise"
"120","Pastreoides03184","turquoise"
"121","Pastreoides05089","grey"
"122","Pastreoides39873","turquoise"
"123","Pastreoides05085","turquoise"
"124","Pastreoides48308","turquoise"
"125","Pastreoides54365","grey"
"126","Pastreoides13974","blue"
"127","Pastreoides52205","turquoise"
"128","Pastreoides28135","turquoise"
"129","Pastreoides28138","turquoise"
"130","Pastreoides54981","blue"
"131","Pastreoides54984","brown"
"132","Pastreoides08361","turquoise"
"133","Pastreoides11864","turquoise"
"134","Pastreoides33517","turquoise"
"135","Pastreoides09018","turquoise"
"136","Pastreoides37461","turquoise"
"137","Pastreoides37468","turquoise"
"138","Pastreoides43936","turquoise"
"139","Pastreoides43934","turquoise"
"140","Pastreoides43935","turquoise"
"141","Pastreoides43932","turquoise"
"142","Pastreoides43933","turquoise"
"143","Pastreoides43930","turquoise"
"144","Pastreoides23805","turquoise"
"145","Pastreoides36338","turquoise"
"146","Pastreoides35825","brown"
"147","Pastreoides63749","turquoise"
"148","Pastreoides63742","turquoise"
"149","Pastreoides09801","blue"
"150","Pastreoides55119","turquoise"
"151","Pastreoides05816","brown"
"152","Pastreoides05813","turquoise"
"153","Pastreoides00567","grey"
"154","Pastreoides59947","turquoise"
"155","Pastreoides58538","turquoise"
"156","Pastreoides14204","grey"
"157","Pastreoides14205","turquoise"
"158","Pastreoides14206","brown"
"159","Pastreoides02539","turquoise"
"160","Pastreoides34880","brown"
"161","Pastreoides04078","blue"
"162","Pastreoides04072","blue"
"163","Pastreoides04385","grey"
"164","Pastreoides04386","turquoise"
"165","Pastreoides59285","turquoise"
"166","Pastreoides09203","turquoise"
"167","Pastreoides41235","turquoise"
"168","Pastreoides05033","turquoise"
"169","Pastreoides00232","turquoise"
"170","Pastreoides00239","turquoise"
"171","Pastreoides19039","blue"
"172","Pastreoides19175","turquoise"
"173","Pastreoides37146","blue"
"174","Pastreoides32319","turquoise"
"175","Pastreoides28390","turquoise"
"176","Pastreoides12367","turquoise"
"177","Pastreoides02560","turquoise"
"178","Pastreoides02561","turquoise"
"179","Pastreoides04801","turquoise"
"180","Pastreoides39091","turquoise"
"181","Pastreoides06019","turquoise"
"182","Pastreoides20765","blue"
"183","Pastreoides39323","blue"
"184","Pastreoides49552","grey"
"185","Pastreoides19621","turquoise"
"186","Pastreoides48807","blue"
"187","Pastreoides21382","turquoise"
"188","Pastreoides56079","turquoise"
"189","Pastreoides27514","grey"
"190","Pastreoides27512","turquoise"
"191","Pastreoides13329","grey"
"192","Pastreoides17852","turquoise"
"193","Pastreoides13323","blue"
"194","Pastreoides13320","turquoise"
"195","Pastreoides61138","turquoise"
"196","Pastreoides61132","turquoise"
"197","Pastreoides02763","turquoise"
"198","Pastreoides24978","turquoise"
"199","Pastreoides12058","turquoise"
"200","Pastreoides19009","turquoise"
"201","Pastreoides19008","turquoise"
"202","Pastreoides20086","turquoise"
"203","Pastreoides21602","turquoise"
"204","Pastreoides21603","turquoise"
"205","Pastreoides21607","grey"
"206","Pastreoides17243","turquoise"
"207","Pastreoides06040","blue"
"208","Pastreoides15056","turquoise"
"209","Pastreoides15055","turquoise"
"210","Pastreoides15058","turquoise"
"211","Pastreoides64357","blue"
"212","Pastreoides61956","turquoise"
"213","Pastreoides07606","grey"
"214","Pastreoides07601","turquoise"
"215","Pastreoides07608","blue"
"216","Pastreoides14303","blue"
"217","Pastreoides17346","blue"
"218","Pastreoides34142","turquoise"
"219","Pastreoides34144","grey"
"220","Pastreoides17343","turquoise"
"221","Pastreoides17348","turquoise"
"222","Pastreoides29031","blue"
"223","Pastreoides01521","turquoise"
"224","Pastreoides01529","turquoise"
"225","Pastreoides48280","turquoise"
"226","Pastreoides42946","brown"
"227","Pastreoides42947","turquoise"
"228","Pastreoides13570","brown"
"229","Pastreoides17962","grey"
"230","Pastreoides09197","turquoise"
"231","Pastreoides33491","turquoise"
"232","Pastreoides33498","turquoise"
"233","Pastreoides15200","turquoise"
"234","Pastreoides08989","grey"
"235","Pastreoides03314","turquoise"
"236","Pastreoides40091","blue"
"237","Pastreoides03315","turquoise"
"238","Pastreoides02178","grey"
"239","Pastreoides02176","turquoise"
"240","Pastreoides02171","turquoise"
"241","Pastreoides41324","blue"
"242","Pastreoides41327","grey"
"243","Pastreoides41326","turquoise"
"244","Pastreoides41329","turquoise"
"245","Pastreoides41328","grey"
"246","Pastreoides24711","grey"
"247","Pastreoides24712","turquoise"
"248","Pastreoides28669","brown"
"249","Pastreoides40632","turquoise"
"250","Pastreoides40637","turquoise"
"251","Pastreoides47301","turquoise"
"252","Pastreoides53002","turquoise"
"253","Pastreoides53007","turquoise"
"254","Pastreoides53006","turquoise"
"255","Pastreoides25046","grey"
"256","Pastreoides25040","turquoise"
"257","Pastreoides16896","turquoise"
"258","Pastreoides41361","turquoise"
"259","Pastreoides04223","turquoise"
"260","Pastreoides47077","grey"
"261","Pastreoides47076","blue"
"262","Pastreoides47074","blue"
"263","Pastreoides59562","turquoise"
"264","Pastreoides26025","blue"
"265","Pastreoides26029","turquoise"
"266","Pastreoides49333","turquoise"
"267","Pastreoides01887","blue"
"268","Pastreoides24872","turquoise"
"269","Pastreoides47692","turquoise"
"270","Pastreoides47696","turquoise"
"271","Pastreoides47698","blue"
"272","Pastreoides27377","turquoise"
"273","Pastreoides27375","turquoise"
"274","Pastreoides27372","blue"
"275","Pastreoides45348","turquoise"
"276","Pastreoides45341","turquoise"
"277","Pastreoides45340","turquoise"
"278","Pastreoides57698","turquoise"
"279","Pastreoides39425","grey"
"280","Pastreoides39427","yellow"
"281","Pastreoides39426","turquoise"
"282","Pastreoides25831","turquoise"
"283","Pastreoides08305","turquoise"
"284","Pastreoides38772","turquoise"
"285","Pastreoides38770","brown"
"286","Pastreoides26560","turquoise"
"287","Pastreoides26561","turquoise"
"288","Pastreoides26562","turquoise"
"289","Pastreoides43283","turquoise"
"290","Pastreoides23884","blue"
"291","Pastreoides09382","grey"
"292","Pastreoides56605","blue"
"293","Pastreoides46969","turquoise"
"294","Pastreoides36871","grey"
"295","Pastreoides51958","grey"
"296","Pastreoides13280","turquoise"
"297","Pastreoides13283","turquoise"
"298","Pastreoides13282","turquoise"
"299","Pastreoides22590","turquoise"
"300","Pastreoides13289","turquoise"
"301","Pastreoides18352","turquoise"
"302","Pastreoides51379","turquoise"
"303","Pastreoides51378","turquoise"
"304","Pastreoides50843","turquoise"
"305","Pastreoides41125","turquoise"
"306","Pastreoides41124","turquoise"
"307","Pastreoides41121","turquoise"
"308","Pastreoides41120","turquoise"
"309","Pastreoides19639","blue"
"310","Pastreoides60966","turquoise"
"311","Pastreoides60964","turquoise"
"312","Pastreoides12824","turquoise"
"313","Pastreoides50777","turquoise"
"314","Pastreoides41699","turquoise"
"315","Pastreoides10719","yellow"
"316","Pastreoides21811","turquoise"
"317","Pastreoides21816","turquoise"
"318","Pastreoides46472","turquoise"
"319","Pastreoides46473","turquoise"
"320","Pastreoides06056","turquoise"
"321","Pastreoides06052","turquoise"
"322","Pastreoides06053","turquoise"
"323","Pastreoides06051","turquoise"
"324","Pastreoides57929","grey"
"325","Pastreoides55911","brown"
"326","Pastreoides16381","turquoise"
"327","Pastreoides16387","brown"
"328","Pastreoides33906","turquoise"
"329","Pastreoides52086","blue"
"330","Pastreoides25754","blue"
"331","Pastreoides07017","brown"
"332","Pastreoides07011","turquoise"
"333","Pastreoides00041","turquoise"
"334","Pastreoides02754","turquoise"
"335","Pastreoides02751","blue"
"336","Pastreoides02752","turquoise"
"337","Pastreoides42576","turquoise"
"338","Pastreoides43228","turquoise"
"339","Pastreoides43226","turquoise"
"340","Pastreoides43225","turquoise"
"341","Pastreoides19359","turquoise"
"342","Pastreoides03809","turquoise"
"343","Pastreoides03807","brown"
"344","Pastreoides31438","turquoise"
"345","Pastreoides31433","turquoise"
"346","Pastreoides31434","brown"
"347","Pastreoides34489","grey"
"348","Pastreoides45103","turquoise"
"349","Pastreoides39627","blue"
"350","Pastreoides39625","turquoise"
"351","Pastreoides37591","grey"
"352","Pastreoides37599","turquoise"
"353","Pastreoides35999","blue"
"354","Pastreoides35990","turquoise"
"355","Pastreoides38570","grey"
"356","Pastreoides46346","turquoise"
"357","Pastreoides22934","grey"
"358","Pastreoides19395","turquoise"
"359","Pastreoides03813","turquoise"
"360","Pastreoides02038","yellow"
"361","Pastreoides27092","turquoise"
"362","Pastreoides36430","grey"
"363","Pastreoides27091","blue"
"364","Pastreoides31422","turquoise"
"365","Pastreoides24526","turquoise"
"366","Pastreoides24520","grey"
"367","Pastreoides31196","blue"
"368","Pastreoides31191","turquoise"
"369","Pastreoides03077","turquoise"
"370","Pastreoides03073","turquoise"
"371","Pastreoides34498","turquoise"
"372","Pastreoides13394","turquoise"
"373","Pastreoides26968","turquoise"
"374","Pastreoides26969","blue"
"375","Pastreoides42636","blue"
"376","Pastreoides42633","turquoise"
"377","Pastreoides42631","turquoise"
"378","Pastreoides00525","turquoise"
"379","Pastreoides00528","blue"
"380","Pastreoides16301","turquoise"
"381","Pastreoides11420","turquoise"
"382","Pastreoides06594","turquoise"
"383","Pastreoides27853","turquoise"
"384","Pastreoides22614","blue"
"385","Pastreoides17766","turquoise"
"386","Pastreoides23251","turquoise"
"387","Pastreoides23252","turquoise"
"388","Pastreoides23257","turquoise"
"389","Pastreoides10268","turquoise"
